ClinName,ClinCityCode,ClinStateCode,SART,Single,Gest,Donor,Share,IVF_Rate,GIFT_Rate,ZIFT,ICSI,Unstim,Tubal,Endo,Uterin,Ovulat,Male,Other,Unkno,FrCy30,FrCy35,FrCy40,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvRt30,FrLvRt35,FrLvRt40,FrLvTx30,FrLvTx35,FrLvTx40,FrCnCy30,FrCnCy35,FrCnCy40,FrEmTr30,FrEmTr35,FrEmTr40,FrMgPg30,FrMgPg35,FrMgPg40,FrMbLv30,FrMbLv35,FrMbLv40,CrTr30,CrTr35,CrTr40,CrLvTr30,CrLvTr35,CrLvTr40,CrEmTr30,CrEmTr35,CrEmTr40,FdTr30,FdTr35,FdTr40,FdLvTr30,FdLvTr35,FdLvTr40,CdTr30,CdTr35,CdTr40,CdLvTr30,CdLvTr35,CdLvTr40,FdCdEms30,FdCdEms35,FdCdEms40
"NATIONAL FERTILITY CENTER OF TEXAS, P.A.",DALLAS,TEXAS,Yes,Yes,No,No,No,100%,0%,0%,10%,0%,36%,7%,8%,36%,11%,1%,1%,43,42,14,14.0,19.0,3/14,11.6,14.3,2/14,(2.0 - 21.2),(3.7 - 24.9),,15.2,20.0,2/7,17.2,23.1,2/7,23.3,28.6,7/14,4.2,4.4,4.1,2/6,2/8,1/3,2/5,2/6,1/2,6,5,0,1/6,2/5,,6.0,4.2,,0,0,0,,,,0,0,0,,,,,,
CENTER FOR ASSISTED REPRODUCTION,BEDFORD,TEXAS,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,39%,0%,20%,5%,1%,14%,32%,19%,9%,197,141,62,56.3,37.6,14.5,49.7,31.9,9.7,(42.8 - 56.7),(24.2 - 39.6),(2.3 - 17.0),51.3,34.9,12.8,53.8,36.0,13.3,3.0,8.5,24.2,3.2,3.4,3.4,55.9,37.7,0/9,56.1,33.3,0/6,40,21,1,22.5,19.0,0/1,3.2,3.2,5.0,6,13,38,4/6,6/13,65.8,1,0,5,0/1,,0/5,3.7,3.5,3.5
REPRODUCTIVE SCIENCE CENTER OF DALLAS,CARROLTON,TEXAS,Yes,No,Yes,No,No,100%,0%,0%,29%,0%,33%,44%,0%,13%,2%,2%,6%,26,14,5,19.2,2/14,0/5,19.2,2/14,0/5,(4.1 - 34.4),,,25.0,2/9,0/4,5/16,2/8,0/2,23.1,5/14,1/5,3.1,2.9,3.0,1/5,1/2,,1/5,0/2,,0,1,0,,0/1,,,2.0,,0,0,0,,,,0,0,0,,,,,,
METHODIST WOMEN'S AND CHILDREN'S HOSPITAL,SAN ANTONIO,TEXAS,Yes,Yes,No,Yes,Yes,100%,0%,0%,5%,0%,25%,13%,2%,31%,9%,15%,5%,40,36,28,30.0,19.4,10.7,25.0,13.9,10.7,(11.6 - 38.4),(2.6 - 25.2),(0.0 - 22.2),27.8,15.2,3/19,29.4,15.6,3/17,10.0,8.3,32.1,3.6,3.6,3.3,4/12,4/7,0/3,3/10,3/5,0/3,12,23,6,3/12,17.4,1/6,2.8,2.8,2.7,2,3,18,0/2,2/3,8/18,2,4,13,1/2,1/4,0/13,2.8,2.9,2.8
THE CENTER FOR REPRODUCTIVE MEDICINE,LUBBOCK,TEXAS,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,15%,0%,33%,27%,2%,14%,10%,10%,4%,42,20,5,35.7,30.0,0/5,31.0,20.0,0/5,(17.0 - 44.9),(2.5 - 37.5),,31.0,4/19,0/3,34.2,4/16,0/2,0.0,5.0,2/5,3.4,3.0,3.5,10/15,1/6,,9/13,0/4,,7,1,0,0/7,0/1,,3.3,3.0,,3,4,1,3/3,3/4,1/1,0,0,0,,,,4.0,3.5,3.0
FERTILITY CENTER OF SAN ANTONIO,SAN ANTONIO,TEXAS,Yes,Yes,Yes,Yes,No,100%,0%,0%,41%,0%,23%,4%,3%,13%,31%,18%,8%,63,58,22,44.4,46.6,36.4,39.7,36.2,27.3,(27.6 - 51.8),(23.8 - 48.6),(8.7 - 45.9),42.4,42.9,6/17,43.9,45.7,6/16,6.3,15.5,22.7,3.4,3.5,4.8,39.3,37.0,1/8,40.0,33.3,1/6,24,11,8,4.2,3/11,1/8,3.8,3.6,4.1,0,2,2,,1/2,1/2,1,1,1,0/1,0/1,0/1,3.0,5.0,4.3
UTAH CENTER FOR REPRODUCTIVE MEDICINE,SALT LAKE CITY,UTAH,Yes,No,No,Yes,No,95%,4%,1%,32%,0%,24%,25%,0%,8%,24%,11%,8%,103,61,20,31.1,32.8,15.0,25.2,26.2,10.0,(16.9 - 33.6),(15.2 - 37.3),(0.0 - 23.1),29.9,30.8,2/14,31.3,32.0,2/14,15.5,14.8,30.0,2.9,2.9,3.4,40.6,25.0,1/3,42.3,4/16,1/2,4,8,3,1/4,2/8,0/3,2.0,3.6,2.7,2,4,6,1/2,1/4,2/6,0,0,0,,,,3.5,2.8,3.8
UNIVERSITY OF VERMONT,BURLINGTON,VERMONT,Yes,Yes,No,No,No,100%,0%,0%,0%,0%,62%,5%,0%,3%,15%,15%,0%,24,23,9,20.8,17.4,0/9,20.8,13.0,0/9,(4.6 - 37.1),(0.0 - 26.8),,5/19,3/17,0/7,5/17,3/16,0/7,20.8,26.1,2/9,3.7,3.7,5.1,5/5,1/4,,4/5,1/3,,3,1,0,0/3,0/1,,4.0,4.0,,0,0,0,,,,1,0,0,0/1,,,4.0,,
HENRICO DOCTORS HOSPITAL ART PROGRAM,RICHMOND,VIRGINIA,Yes,Yes,Yes,Yes,No,80%,9%,11%,2%,0%,63%,7%,2%,0%,16%,12%,0%,22,17,5,18.2,4/17,1/5,9.1,3/17,1/5,(0.0 - 21.1),,,10.0,3/12,1/4,2/18,3/11,1/4,9.1,5/17,1/5,4.7,3.9,3.5,1/4,0/4,0/1,1/2,0/3,0/1,7,3,1,0/7,1/3,0/1,3.4,2.0,2.0,0,0,1,,,0/1,0,0,0,,,,,,4.0
THE FERTILITY AND REPRODUCTIVE HEALTH CENTER,ANNANDALE,VIRGINIA,Yes,Yes,No,Yes,No,100%,0%,0%,33%,0%,16%,32%,3%,3%,30%,5%,11%,35,19,10,25.7,5/19,2/10,25.7,2/19,2/10,(11.2 - 40.2),,,25.7,2/19,2/10,25.7,2/19,2/10,0.0,0/19,0/10,4.5,5.1,5.6,2/9,1/5,0/2,2/9,1/2,0/2,7,3,0,0/7,0/3,,4.6,4.3,,0,5,0,,1/5,,0,1,0,,1/1,,,4.3,
LIFESOURCE FERTILITY CENTER,RICHMOND,VIRGINIA,Yes,Yes,No,No,No,67%,33%,0%,8%,0%,39%,21%,0%,19%,12%,0%,9%,20,14,2,40.0,5/14,0/2,30.0,5/14,0/2,(9.9 - 50.1),,,30.0,5/13,0/1,30.0,5/12,0/1,0.0,1/14,1/2,4.5,4.3,2.0,3/8,1/5,,2/6,1/5,,2,4,1,0/2,1/4,0/1,3.5,2.0,3.0,0,0,0,,,,0,0,0,,,,,,
FERTILITY INSTITUTE OF VIRGINIA,RICHMOND,VIRGINIA,Yes,Yes,Yes,Yes,No,94%,6%,0%,19%,1%,29%,24%,3%,8%,11%,11%,14%,70,40,17,41.4,32.5,2/17,35.7,27.5,2/17,(24.5 - 46.9),(13.7 - 41.3),,37.3,30.6,2/12,37.9,33.3,2/12,4.3,10.0,5/17,4.5,4.2,3.7,37.9,7/13,1/2,32.0,5/11,0/2,10,10,6,1/10,1/10,0/6,4.5,3.1,3.0,1,1,2,1/1,0/1,0/2,0,0,0,,,,6.0,5.0,4.0
JONES INSTITUTE FOR REPRODUCTIVE MEDICINE,NORFOLK,VIRGINIA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,43%,0%,22%,12%,0%,6%,23%,30%,7%,145,140,53,35.9,32.1,13.2,27.6,27.9,9.4,(20.3 - 34.9),(20.4 - 35.3),(1.6 - 17.3),29.2,32.0,12.5,31.3,33.9,12.5,5.5,12.9,24.5,3.6,4.4,4.2,32.7,26.7,1/7,30.0,28.2,0/5,58,43,10,13.8,23.3,0/10,3.5,3.5,3.9,24,27,79,41.7,29.6,40.5,7,13,42,3/7,1/13,23.8,3.5,3.2,3.5
DOMINION FERTILITY & ENDOCRINOLOGY,ARLINGTON,VIRGINIA,Yes,Yes,Yes,Yes,No,99%,1%,0%,14%,0%,28%,16%,0%,6%,10%,34%,6%,43,36,7,39.5,19.4,0/7,34.9,19.4,0/7,(20.6 - 49.1),(6.5 - 32.4),,39.5,22.6,0/7,41.7,25.0,0/7,11.6,13.9,0/7,3.7,3.8,2.6,7/17,3/7,,5/15,3/7,,7,3,4,2/7,0/3,0/4,4.0,4.3,3.5,0,7,6,,3/7,1/6,0,3,1,,1/3,0/1,,4.2,3.7
UNIVERSITY OF VIRGINIA ART PROGRAM,CHARLOTTESVILLE,VIRGINIA,Yes,Yes,No,Yes,No,63%,<1%,36%,33%,0%,32%,23%,0%,8%,21%,3%,13%,26,29,11,42.3,34.5,2/11,38.5,24.1,2/11,(19.8 - 57.2),(8.6 - 39.7),,41.7,30.4,2/10,43.5,30.4,2/9,7.7,20.7,1/11,4.0,3.8,4.2,4/11,2/10,1/2,3/10,2/7,0/2,5,3,0,1/5,0/3,,2.6,2.7,,1,0,8,1/1,,4/8,0,0,3,,,1/3,4.0,,3.3
UNIVERSITY OF WASHINGTON,SEATTLE,WASHINGTON,Yes,Yes,No,Yes,No,99%,1%,0%,48%,0%,34%,9%,2%,11%,28%,9%,7%,92,130,35,32.6,36.2,5.7,29.3,30.0,2.9,(20.0 - 38.7),(22.1 - 37.9),(0.0 - 8.4),31.8,34.8,3.7,32.5,35.8,4.2,7.6,13.8,22.9,3.2,3.4,4.2,66.7,36.2,0/2,66.7,30.8,0/1,6,10,5,2/6,1/10,0/5,3.0,3.8,3.4,11,9,30,6/11,2/9,46.7,3,4,12,0/3,0/4,2/12,3.4,3.1,3.2
VIRGINIA MASON CENTER FOR FERTILITY,SEATTLE,WASHINGTON,Yes,Yes,No,Yes,No,92%,7%,1%,51%,0%,21%,11%,2%,3%,30%,24%,9%,69,71,38,31.9,14.1,5.3,24.6,9.9,2.6,(14.5 - 34.8),(2.9 - 16.8),(0.0 - 7.7),27.4,12.1,4.0,27.4,12.3,4.2,10.1,18.3,34.2,4.4,4.8,4.6,36.4,2/10,0/2,7/17,2/7,0/1,10,6,3,2/10,1/6,1/3,3.8,4.5,3.3,3,2,27,1/3,0/2,25.9,0,0,4,,,1/4,4.0,4.0,4.5
OLYMPIA WOMEN'S HEALTH,OLYMPIA,WASHINGTON,Yes,Yes,No,No,No,100%,0%,0%,4%,0%,64%,11%,0%,11%,7%,7%,0%,8,15,4,4/8,3/15,1/4,4/8,3/15,1/4,,,,4/8,3/15,1/4,4/8,3/14,1/4,0/8,0/15,0/4,4.6,4.2,5.0,1/4,2/3,0/1,1/4,2/3,0/1,1,0,0,0/1,,,2.0,,,0,0,0,,,,0,0,0,,,,,,
CLINIC OF OB/GYN,WEST ALLIS,WISCONSIN,Yes,No,No,No,No,95%,5%,0%,30%,0%,60%,13%,0%,0%,27%,0%,0%,9,5,6,3/9,2/5,0/6,3/9,2/5,0/6,,,,3/9,2/5,0/6,3/8,2/4,0/4,0/9,0/5,0/6,2.9,3.3,2.0,2/3,0/2,,2/3,0/2,,6,4,0,3/6,0/4,,3.5,3.3,,0,0,0,,,,0,0,0,,,,,,
NEW ENGLAND FERTILITY & ENDOCRINOLOGY ASSOCIATES,BROOKLINE,MASSACHUSETTS,Yes,No,Yes,No,No,100%,0%,0%,0%,75%,75%,9%,0%,2%,5%,7%,2%,11,24,5,0/11,0.0,0/5,0/11,0.0,0/5,,,,0/10,0.0,0/5,0/7,0/18,0/3,1/11,0.0,0/5,1.0,1.3,1.7,,,,,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,,,,,,
"GYFT CLINIC, P.L.L.C.",TACOMA,WASHINGTON,Yes,Yes,No,Yes,No,100%,0%,0%,23%,0%,50%,5%,3%,11%,23%,0%,8%,35,15,6,14.3,3/15,0/6,14.3,1/15,0/6,(2.7 - 25.9),,,14.3,1/15,0/5,15.6,1/13,0/4,0.0,0/15,1/6,3.8,3.6,3.3,1/5,1/3,,1/5,1/1,,0,0,0,,,,,,,0,1,5,,0/1,2/5,0,0,0,,,,,6.0,4.4
WASHINGTON CENTER FOR REPRODUCTIVE MEDICINE,BELLEVUE,WASHINGTON,Yes,Yes,No,Yes,No,100%,0%,0%,21%,0%,52%,10%,7%,17%,12%,0%,2%,15,19,5,6/15,6/19,0/5,4/15,5/19,0/5,,,,4/15,5/17,0/5,4/14,5/15,0/4,0/15,2/19,0/5,3.8,3.7,3.3,1/6,0/6,,1/4,0/5,,0,0,0,,,,,,,0,0,2,,,1/2,0,0,0,,,,,,4.0
CENTER FOR REPRODUCTIVE MEDICINE,CHARLESTON,WEST VIRGINIA,Yes,Yes,No,Yes,No,82%,18%,0%,13%,0%,42%,15%,0%,4%,7%,5%,27%,55,34,10,41.8,17.6,2/10,38.2,11.8,1/10,(25.3 - 51.0),(0.9 - 22.6),,45.7,20.0,1/6,45.7,4/19,1/6,16.4,41.2,4/10,4.7,3.8,5.0,21.7,1/6,1/2,19.0,0/4,0/1,11,2,1,0/11,0/2,0/1,4.0,2.5,3.0,1,0,1,0/1,,1/1,0,0,0,,,,6.0,,5.0
"WOMEN'S HEALTH CARE, S.C.",WAUKESHA,WISCONSIN,Yes,Yes,No,No,No,97%,3%,0%,24%,0%,5%,36%,0%,25%,25%,9%,0%,10,11,8,2/10,1/11,2/8,2/10,1/11,1/8,,,,2/9,1/9,1/4,2/9,1/9,1/4,1/10,2/11,4/8,3.9,2.8,3.8,0/2,0/1,0/2,0/2,0/1,0/1,11,10,1,3/11,3/10,0/1,2.7,2.5,4.0,0,0,0,,,,0,1,0,,0/1,,,3.0,
REPRODUCTIVE SPECIALTY CENTER,MILWAUKEE,WISCONSIN,Yes,No,No,No,No,62%,38%,0%,0%,0%,50%,17%,2%,20%,7%,4%,0%,38,33,16,39.5,24.2,3/16,31.6,21.2,1/16,(16.8 - 46.4),(7.3 - 35.2),,34.3,26.9,1/12,35.3,26.9,1/12,7.9,21.2,4/16,4.0,4.3,7.4,3/15,2/8,1/3,2/12,2/7,0/1,21,8,5,4.8,0/8,0/5,3.8,3.9,4.2,0,0,0,,,,0,0,0,,,,,,
ADVANCED INSTITUTE OF FERTILITY,MILWAUKEE,WISCONSIN,Yes,Yes,Yes,Yes,Yes,90%,10%,0%,47%,0%,25%,11%,1%,20%,40%,2%,1%,87,39,13,46.0,20.5,0/13,41.4,17.9,0/13,(31.0 - 51.7),(5.9 - 30.0),,41.4,18.4,0/12,41.4,18.4,0/12,0.0,2.6,1/13,3.8,3.9,3.0,37.5,3/8,,38.9,2/7,,56,30,6,16.1,33.3,2/6,2.9,3.1,2.3,4,4,8,0/4,2/4,3/8,5,3,5,1/5,2/3,1/5,2.8,2.9,3.2
UNIVERSITY OF WISCONSIN HOSPITALS & CLINICS,MADISON,WISCONSIN,Yes,Yes,No,Yes,No,77%,15%,8%,17%,0%,35%,9%,0%,7%,24%,0%,25%,41,23,2,29.3,39.1,0/2,29.3,30.4,0/2,(15.3 - 43.2),(11.6 - 49.2),,31.6,35.0,0/2,33.3,35.0,0/2,7.3,13.0,0/2,5.0,4.6,4.0,10/12,2/9,,9/12,2/7,,5,2,0,2/5,0/2,,5.4,3.0,,1,0,1,0/1,,0/1,0,0,0,,,,4.0,,6.0
"WOMEN CARE, S.C.",WAUKESHA,WISCONSIN,Yes,No,No,Yes,No,100%,0%,0%,37%,0%,37%,28%,0%,5%,23%,6%,1%,22,14,10,22.7,3/14,0/10,22.7,3/14,0/10,(5.2 - 40.2),,,22.7,3/9,0/9,5/14,3/8,0/8,0.0,5/14,1/10,2.7,3.0,3.0,2/5,1/3,,1/5,1/3,,25,9,1,12.0,1/9,0/1,3.1,2.7,3.0,0,0,0,,,,1,0,0,1/1,,,4.0,,
GUNDERSEN/LUTHERAN MEDICAL CENTER,LACROSSE,WISCONSIN,Yes,Yes,No,No,No,66%,34%,0%,0%,0%,34%,30%,0%,31%,4%,1%,0%,52,14,1,28.8,4/14,1/1,23.1,4/14,1/1,(11.6 - 34.5),,,27.3,4/13,1/1,29.3,4/13,1/1,15.4,1/14,0/1,3.7,3.5,5.0,6/15,3/4,0/1,5/12,3/4,0/1,0,0,0,,,,,,,0,0,0,,,,0,0,0,,,,,,
"MEDICAL COLLEGE OF WISCONSIN, DEPARTMENT OF OB/GYN",MILWAUKEE,WISCONSIN,Yes,Yes,No,No,No,100%,0%,0%,25%,0%,6%,27%,0%,17%,22%,0%,28%,12,3,1,4/12,1/3,0/1,2/12,1/3,0/1,,,,2/12,1/3,0/1,2/11,1/3,0/1,0/12,0/3,0/1,2.7,3.0,4.0,0/4,0/1,,0/2,0/1,,1,0,1,0/1,,0/1,3.0,,4.0,0,0,0,,,,0,0,0,,,,,,
FAMILY FERTILITY PROGRAM,APPLETON,WISCONSIN,Yes,Yes,No,No,No,50%,50%,0%,0%,0%,41%,9%,0%,5%,0%,18%,27%,4,10,2,1/4,3/10,0/2,1/4,2/10,0/2,,,,1/4,2/8,0/1,1/4,2/7,0/1,0/4,2/10,1/2,4.5,3.9,5.0,1/1,0/3,,0/1,0/2,,2,0,2,0/2,,0/2,2.0,,2.5,0,0,0,,,,0,0,0,,,,,,
COLUMBIA HOSPITAL FOR WOMEN,WASHINGTON,DISTRICT OF COLUMBIA,Yes,Yes,No,Yes,No,99%,<1%,0%,42%,0%,32%,17%,1%,21%,26%,1%,2%,75,99,72,16.0,18.2,2.8,12.0,13.1,0.0,(4.6 - 19.4),(6.5 - 19.8),,13.8,16.7,0.0,15.5,17.8,0.0,13.3,21.2,15.3,4.4,4.0,4.2,4/12,2/18,0/2,4/9,1/13,,6,10,4,0/6,0/10,0/4,3.7,4.1,3.0,0,6,16,,2/6,7/16,2,4,7,0/2,1/4,1/7,2.5,4.2,6.2
UNIVERSITY OF CONNECTICUT HEALTH CENTER,FARMINGTON,CONNECTICUT,Yes,Yes,Yes,Yes,Yes,99%,<1%,0%,25%,1%,37%,20%,0%,5%,25%,4%,9%,169,117,33,34.3,28.2,15.2,29.6,26.5,9.1,(22.7 - 36.5),(18.5 - 34.5),(0.0 - 18.9),35.5,35.2,3/16,37.9,36.9,3/16,16.6,24.8,51.5,3.4,3.9,4.2,32.8,48.5,0/5,30.0,38.7,0/3,14,15,2,5/14,1/15,0/2,3.1,3.7,3.0,3,2,8,1/3,0/2,2/8,0,0,1,,,0/1,5.0,2.0,3.1
SAN FRANCISCO CENTER FOR REPRODUCTIVE MEDICINE,SAN FRANCISCO,CALIFORNIA,Yes,Yes,Yes,Yes,No,99%,<1%,0%,9%,0%,18%,5%,1%,7%,32%,19%,18%,76,108,157,35.5,27.8,15.3,26.3,24.1,7.6,(16.4 - 36.2),(16.0 - 32.1),(3.5 - 11.8),31.7,31.0,11.0,31.7,31.0,11.1,17.1,22.2,30.6,5.2,5.8,5.8,37.0,53.3,20.8,40.0,53.8,3/12,9,22,5,3/9,27.3,0/5,3.9,4.3,2.4,5,7,51,2/5,3/7,33.3,0,0,22,,,27.3,4.2,4.9,4.4
NEW ENGLAND FERTILITY INSTITUTE,STAMFORD,CONNECTICUT,Yes,Yes,No,Yes,No,99%,<1%,0%,48%,0%,24%,6%,1%,7%,31%,2%,29%,100,76,43,60.0,52.6,39.5,51.0,39.5,14.0,(41.2 - 60.8),(28.5 - 50.5),(3.6 - 24.3),51.0,39.5,14.0,51.0,41.1,14.6,0.0,0.0,0.0,4.2,4.2,4.3,43.3,25.0,2/17,41.2,33.3,1/6,14,16,16,2/14,3/16,1/16,2.9,2.9,3.8,1,4,6,0/1,1/4,2/6,0,0,0,,,,4.0,5.0,4.2
CHR-DELAWARE,NEWARK,DELAWARE,Yes,Yes,Yes,Yes,No,99%,<1%,<1%,36%,2%,29%,16%,3%,6%,26%,15%,5%,92,87,48,20.7,13.8,4.2,19.6,10.3,2.1,(11.5 - 27.7),(3.9 - 16.7),(0.0 - 6.1),24.3,14.3,3.2,25.0,14.5,3.6,19.6,27.6,35.4,4.6,4.3,3.9,8/19,4/12,0/2,8/18,3/9,0/1,30,23,6,10.0,13.0,0/6,3.9,4.0,2.7,2,0,8,0/2,,3/8,0,0,0,,,,6.0,,5.6
WOMEN & INFANTS HOSPITAL IVF PROGRAM,PROVIDENCE,RHODE ISLAND,Yes,Yes,Yes,Yes,No,99%,0%,<1%,27%,0%,30%,13%,0%,7%,28%,7%,15%,243,159,50,28.8,28.3,10.0,23.5,23.3,6.0,(18.1 - 28.8),(16.7 - 29.8),(0.0 - 12.6),24.8,24.5,7.3,25.2,24.8,8.1,5.3,5.0,18.0,3.5,3.6,3.4,35.7,37.8,1/5,31.6,35.1,1/3,24,43,12,8.3,7.0,0/12,4.4,4.0,3.2,3,1,4,2/3,1/1,2/4,0,0,0,,,,3.0,4.0,3.5
UNIVERSITY FERTILITY CONSULTANTS,PORTLAND,OREGON,Yes,Yes,Yes,Yes,No,99%,1%,0%,27%,0%,28%,11%,2%,5%,23%,24%,7%,90,63,23,25.6,9.5,4.3,23.3,9.5,0.0,(14.6 - 32.1),(2.3 - 16.8),,30.4,15.4,0/14,32.3,17.6,0/12,23.3,38.1,39.1,3.5,3.4,4.7,39.1,3/6,0/1,38.1,3/6,,43,27,11,14.0,14.8,2/11,3.5,3.5,3.7,2,6,32,1/2,3/6,34.4,3,3,18,0/3,0/3,2/18,4.0,3.3,2.9
GREATER CINCINNATI INSTITUTE FOR REPRODUCTIVE HEALTH,CINCINNATI,OHIO,Yes,Yes,Yes,Yes,Yes,98%,<1%,<1%,33%,0%,28%,29%,3%,14%,19%,5%,2%,276,211,51,30.8,15.6,9.8,26.1,10.9,5.9,(20.9 - 31.3),(6.7 - 15.1),(0.0 - 12.3),28.1,13.9,8.1,29.8,14.7,8.8,7.2,21.8,27.5,4.2,4.4,5.2,41.2,45.5,0/5,40.3,43.5,0/3,92,44,7,18.5,11.4,0/7,4.2,4.2,5.0,9,13,30,6/9,6/13,40.0,3,9,14,1/3,2/9,3/14,4.9,4.5,4.4
BETHESDA CENTER FOR REPRODUCTIVE HEALTH AND FERTILITY,CINCINNATI,OHIO,Yes,Yes,No,Yes,No,98%,<1%,<1%,43%,0%,13%,13%,1%,17%,46%,2%,8%,73,52,7,37.0,23.1,2/7,35.6,23.1,1/7,(24.6 - 46.6),(11.6 - 34.5),,41.3,30.8,1/5,42.6,31.6,1/4,13.7,25.0,2/7,3.6,3.9,5.3,51.9,8/12,0/2,46.2,6/12,0/1,12,5,1,5/12,2/5,0/1,3.3,4.2,4.0,3,4,10,1/3,2/4,4/10,0,0,0,,,,3.7,3.8,3.6
ROBERT WOOD JOHNSON MEDICAL SCHOOL ART PROGRAM,NEW BRUNSWICK,NEW JERSEY,Yes,Yes,No,Yes,No,83%,17%,0%,26%,0%,21%,19%,0%,19%,26%,4%,11%,132,126,30,30.3,29.4,0.0,21.2,22.2,0.0,(14.2 - 28.2),(15.0 - 29.5),,24.1,29.2,0/17,24.8,30.4,0/17,12.1,23.8,43.3,3.4,4.0,6.5,40.0,35.1,,42.9,28.6,,33,21,6,12.1,9.5,0/6,3.1,2.8,2.8,0,4,12,,2/4,6/12,0,0,0,,,,,3.5,3.3
DIAMOND INSTITUTE FOR INFERTILITY AND MENOPAUSE,MILLBURN,NEW JERSEY,Yes,Yes,No,Yes,No,100%,0%,0%,42%,0%,38%,15%,1%,15%,25%,5%,1%,124,84,48,33.1,19.0,6.3,26.6,11.9,0.0,(18.8 - 34.4),(5.0 - 18.8),,29.2,16.1,0.0,29.2,17.2,0.0,8.9,26.2,25.0,5.3,5.3,4.1,51.2,6/16,0/3,54.5,5/10,,19,2,2,3/19,0/2,0/2,3.4,1.0,4.0,3,6,21,1/3,3/6,47.6,1,1,6,0/1,0/1,0/6,4.5,5.4,5.7
DELAWARE VALLEY INSTITUTE OF FERTILITY AND GENETICS,MARLTON,NEW JERSEY,Yes,Yes,No,Yes,No,92%,8%,0%,0%,0%,52%,12%,0%,11%,11%,3%,11%,19,8,2,2/19,2/8,1/2,1/19,2/8,1/2,,,,1/15,2/7,1/2,1/12,2/6,1/2,4/19,1/8,0/2,4.6,4.7,4.5,0/2,1/2,0/1,0/1,1/2,0/1,6,1,0,2/6,0/1,,4.5,5.0,,1,0,0,0/1,,,0,0,0,,,,5.0,,
THE INSTITUTE FOR REPRODUCTIVE MEDICINE AND SCIENCE,LIVINGSTON,NEW JERSEY,Yes,Yes,No,Yes,No,99%,<1%,0%,35%,0%,21%,10%,3%,28%,24%,6%,8%,486,422,170,56.4,43.6,28.2,51.6,37.2,21.2,(47.2 - 56.1),(32.6 - 41.8),(15.0 - 27.3),57.7,42.8,27.7,59.3,44.9,29.0,10.5,13.0,23.5,3.3,3.9,4.1,51.1,50.5,25.0,46.6,49.0,30.6,40,38,11,37.5,42.1,5/11,3.2,3.3,3.7,11,23,41,6/11,56.5,53.7,1,0,2,0/1,,0/2,3.2,3.2,3.2
"EAST COAST INFERTILITY AND IVF, P.C.",LITTLE SILVER,NEW JERSEY,Yes,Yes,No,No,No,100%,0%,0%,41%,0%,35%,33%,5%,4%,22%,1%,0%,44,44,23,56.8,29.5,4.3,52.3,22.7,0.0,(37.5 - 67.0),(10.3 - 35.1),,56.1,23.3,0.0,56.1,23.8,0/19,6.8,2.3,13.0,4.8,4.1,3.3,72.0,3/13,0/1,78.3,2/10,,4,2,1,1/4,1/2,0/1,3.8,5.0,3.0,0,0,0,,,,0,0,0,,,,,,
WASHINGTON UNIVERSITY AND BARNES JEWISH HOSPITAL,SAINT LOUIS,MISSOURI,Yes,Yes,No,Yes,No,92%,8%,0%,10%,0%,34%,19%,0%,12%,12%,8%,15%,82,68,26,36.6,35.3,3.8,28.0,29.4,0.0,(18.3 - 37.8),(18.6 - 40.2),,32.4,32.8,0/19,33.3,34.5,0/19,13.4,10.3,26.9,3.9,3.9,3.9,26.7,25.0,0/1,30.4,20.0,,12,10,5,2/12,4/10,1/5,3.7,2.9,3.0,1,2,5,0/1,0/2,1/5,0,0,0,,,,4.0,3.0,2.8
BEAUMONT CENTER FOR FERTILITY AND REPRODUCTIVE MEDICINE,ROYAL OAK,MICHIGAN,Yes,Yes,No,No,No,100%,0%,0%,46%,0%,24%,21%,1%,7%,34%,5%,8%,70,42,22,38.6,21.4,4.5,30.0,14.3,0.0,(19.3 - 40.7),(3.7 - 24.9),,32.3,17.6,0/17,32.8,18.8,0/17,7.1,19.0,22.7,3.9,3.5,4.0,40.7,3/9,0/1,42.9,2/6,,5,1,2,0/5,0/1,0/2,3.6,2.0,3.5,0,0,0,,,,0,0,0,,,,,,
"FERTILITY CENTER OF NEW ENGLAND, INC.",READING,MASSACHUSETTS,Yes,Yes,Yes,Yes,No,99%,<1%,0%,29%,1%,29%,13%,5%,12%,24%,9%,8%,347,299,221,24.5,19.7,3.6,18.7,15.4,3.2,(14.6 - 22.8),(11.3 - 19.5),(0.9 - 5.5),19.1,16.0,3.6,20.4,18.2,4.6,1.7,4.0,12.7,3.3,3.3,3.2,27.1,20.3,0/8,26.2,15.2,0/7,59,36,12,13.6,11.1,2/12,3.5,3.5,3.4,3,3,21,2/3,3/3,38.1,1,1,12,1/1,0/1,0/12,4.3,3.5,2.8
