PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,SART,Single,Gest,Donor,Share,IVF_Rate,GIFT_Rate,ZIFT,Combos,ICSI,Unstim,Tubal,Endo,Uterin,Ovulat,Male,Other,Unkno,FrCy30,FrCy35,FrCy40,FrCy45,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr45PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,Fr45LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvCr45,FrLvRt30,FrLvRt35,FrLvRt40,FrLvRt45,FrLvTx30,FrLvTx35,FrLvTx40,FrLvTx45,FrCnCy30,FrCnCy35,FrCnCy40,FrCnCy45,FrEmTr30,FrEmTr35,FrEmTr40,FrEmTr45,FrTwGst30,FrTwGst35,FrTwGst40,FrTwGst45,FrTpGst30,FrTpGst35,FrTpGst40,FrTpGst45,FrMbLv30,FrMbLv35,FrMbLv40,FrMbLv45,CrTr30,CrTr35,CrTr40,CrTr45,CrLvTr30,CrLvTr35,CrLvTr40,CrLvTr45,CrEmTr30,CrEmTr35,CrEmTr40,CrEmTr45,FdTr30,FdTr35,FdTr40,FdTr45,FdLvTr30,FdLvTr35,FdLvTr40,FdLvTr45,CdTr30,CdTr35,CdTr40,CdTr45,CdLvTr30,CdLvTr35,CdLvTr40,CdLvTr45,FdCdEmTr30,FdCdEmTr35,FdCdEmTr40,FdCdEmTr45
BAYLOR CENTER FOR REPRODUCTIVE HEALTH,DALLAS,DALLAS,TEXAS,Yes,No,No,No,No,100%,0%,0%,0%,74%,0%,19%,14%,3%,27%,5%,32%,0%,51,28,36,12,33.3,50.0,36.1,2/12,29.4,42.9,30.6,1/12,(16.9 - 41.9),(24.5 - 61.2),(15.5 - 45.6),,34.1,42.9,31.4,1/7,34.9,46.2,37.9,1/7,13.7,0.0,2.8,5/12,3.6,4.0,4.0,2.4,4/17,4/14,3/13,0/2,2/17,0/14,0/13,0/2,5/15,2/12,3/11,0/1,13,8,6,0,4/13,0/8,1/6,,4.1,4.3,4.7,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
"NATIONAL FERTILITY CENTER OF TEXAS, P.A.",DALLAS,DALLAS,TEXAS,Yes,Yes,No,Yes,No,99%,1%,0%,0%,18%,0%,22%,16%,8%,14%,37%,2%,1%,36,18,19,6,13.9,4/18,1/19,0/6,13.9,4/18,1/19,0/6,(2.6 - 25.2),,,,20.8,4/15,1/12,0/2,25.0,4/13,1/10,,33.3,3/18,7/19,4/6,4.0,4.6,5.0,,1/5,1/4,0/1,,1/5,2/4,0/1,,2/5,3/4,0/1,,5,3,2,0,0/5,0/3,0/2,,4.6,3.7,2.5,,1,0,1,0,1/1,,1/1,,0,0,0,0,,,,,4.0,,4.0,
PRESBYTERIAN HOSPITAL OF DALLAS ARTS CENTER,DALLAS,DALLAS,TEXAS,Yes,No,No,Yes,No,99%,0%,1%,<1%,45%,0%,28%,12%,2%,29%,17%,3%,9%,126,65,59,13,36.5,30.8,20.3,2/13,32.5,26.2,15.3,1/13,(24.4 - 40.7),(15.5 - 36.8),(6.1 - 24.4),,35.0,33.3,22.0,1/10,38.7,38.6,25.7,1/9,7.1,21.5,30.5,3/13,3.3,3.3,3.4,3.0,28.3,35.0,3/12,0/2,15.2,10.0,2/12,0/2,43.9,6/17,4/9,0/1,29,19,5,1,10.3,2/19,3/5,0/1,2.8,3.0,3.0,2.0,0,0,1,0,,,1/1,,0,0,0,0,,,,,,,3.0,
UNIVERSITY OF TEXAS SOUTHWESTERN FERTILITY ASSOCIATES,DALLAS,DALLAS,TEXAS,Yes,Yes,No,Yes,Yes,91%,9%,0%,<1%,21%,0%,27%,12%,2%,12%,17%,30%,<1%,85,48,36,19,45.9,31.3,25.0,0/19,41.2,25.0,13.9,0/19,(30.7 - 51.6),(12.8 - 37.3),(2.6 - 25.2),,47.9,30.0,20.8,0/14,47.9,30.8,21.7,0/12,14.1,16.7,33.3,5/19,4.0,4.0,3.1,3.1,51.3,4/15,2/9,,23.1,3/15,0/9,,65.7,6/12,2/5,,5,3,2,4,1/5,0/3,0/2,0/4,2.6,1.7,3.0,2.8,7,4,3,27,4/7,3/4,1/3,33.3,0,0,0,0,,,,,3.7,3.3,2.3,3.6
BAYLOR ASSISTED REPRODUCTIVE TECHNOLOGY,HOUSTON,HOUSTON,TEXAS,Yes,Yes,No,Yes,No,100%,0%,0%,0%,47%,0%,27%,8%,0%,46%,2%,16%,1%,103,63,42,21,42.7,33.3,28.6,4.8,35.9,28.6,26.2,4.8,(26.7 - 45.2),(17.4 - 39.7),(12.9 - 39.5),(0.0 - 13.9),36.6,30.5,29.7,1/18,37.4,31.6,30.6,1/16,1.9,6.3,11.9,14.3,4.6,4.3,4.7,4.2,25.0,23.8,3/12,1/1,13.6,9.5,0/12,0/1,37.8,6/18,2/11,0/1,10,10,6,1,0/10,1/10,0/6,0/1,3.9,2.5,2.8,5.0,4,2,7,9,2/4,1/2,1/7,4/9,0,0,0,0,,,,,4.3,6.0,5.1,4.4
CENTER FOR REPRODUCTION AT GRAMERCY,HOUSTON,HOUSTON,TEXAS,Yes,No,No,Yes,No,100%,0%,0%,0%,54%,1%,41%,11%,3%,19%,26%,0%,0%,39,23,13,8,33.3,8.7,2/13,0/8,33.3,8.7,2/13,0/8,(18.5 - 48.1),(0.0 - 20.2),,,36.1,9.5,2/10,0/4,37.1,2/18,2/9,0/4,7.7,8.7,3/13,4/8,3.1,3.7,4.3,2.5,2/13,1/2,0/2,,2/13,0/2,1/2,,3/13,0/2,1/2,,14,10,0,0,5/14,3/10,,,3.2,3.4,,,0,0,0,3,,,,2/3,0,0,0,2,,,,1/2,,,,4.4
NORTH HOUSTON CENTER FOR REPRODUCTIVE MEDICINE,HOUSTON,HOUSTON,TEXAS,No,No,No,No,No,100%,0%,0%,0%,34%,0%,39%,2%,0%,27%,12%,0%,20%,12,9,13,4,7/12,3/9,2/13,0/4,7/12,3/9,2/13,0/4,,,,,7/12,3/7,2/10,0/3,7/11,3/7,2/9,0/3,0/12,2/9,3/13,1/4,3.1,3.4,4.6,6.0,2/7,0/3,1/2,,0/7,0/3,0/2,,2/7,0/3,1/2,,4,1,0,2,0/4,0/1,,0/2,3.5,5.0,,4.5,0,0,0,0,,,,,0,0,0,0,,,,,,,,
OBSTETRICAL & GYNECOLOGICAL ASSOCIATES,HOUSTON,HOUSTON,TEXAS,Yes,No,Yes,Yes,No,100%,0%,0%,0%,42%,0%,37%,15%,<1%,27%,8%,11%,2%,142,75,73,39,33.1,29.3,30.1,12.8,26.8,25.3,24.7,5.1,(19.5 - 34.0),(15.5 - 35.2),(14.8 - 34.5),(0.0 - 12.1),29.9,28.8,31.0,8.7,30.6,30.2,34.0,9.1,10.6,12.0,20.5,41.0,3.5,3.8,3.6,3.2,36.2,13.6,22.7,0/5,12.8,18.2,4.5,0/5,52.6,7/19,5/18,0/2,46,20,20,13,26.1,25.0,20.0,1/13,3.1,2.7,2.2,2.8,4,5,11,18,1/4,2/5,3/11,7/18,0,0,0,0,,,,,3.3,3.4,3.2,3.2
ART PROGRAM OF ALABAMA,BIRMINGHAM,BIRMINGHAM,ALABAMA,Yes,No,No,Yes,No,100%,0%,0%,0%,55%,0%,23%,20%,2%,27%,19%,9%,0%,133,38,35,7,33.1,26.3,28.6,1/7,28.6,21.1,14.3,1/7,(20.9 - 36.2),(8.1 - 34.0),(2.7 - 25.9),,33.0,27.6,17.9,1/6,35.8,29.6,18.5,1/5,13.5,23.7,20.0,1/7,2.9,3.3,3.5,4.6,20.5,3/10,0/10,0/1,9.1,0/10,0/10,0/1,23.7,3/8,0/5,0/1,15,5,2,0,3/15,0/5,0/2,,3.1,2.2,3.0,,2,2,1,1,1/2,1/2,1/1,1/1,2,0,0,1,0/2,,,0/1,2.8,3.5,4.0,3.0
UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,BIRMINGHAM,ALABAMA,Yes,Yes,No,Yes,No,72%,28%,0%,0%,16%,1%,37%,18%,0%,18%,13%,2%,13%,83,41,19,10,34.9,26.8,3/19,2/10,27.7,22.0,1/19,1/10,(18.1 - 37.3),(9.3 - 34.6),,,28.4,23.1,1/15,1/8,28.8,25.0,1/14,1/8,2.4,4.9,4/19,2/10,5.2,5.6,6.8,7.5,27.6,1/11,1/3,0/2,20.7,1/11,0/3,0/2,34.8,2/9,1/1,0/1,4,3,0,0,1/4,0/3,,,1.0,1.7,,,1,0,1,5,0/1,,0/1,3/5,0,0,0,0,,,,,5.0,,4.0,5.6
CENTER FOR REPRODUCTIVE MEDICINE,MOBILE,MOBILE,ALABAMA,Yes,Yes,Yes,Yes,Yes,95%,5%,0%,0%,45%,0%,24%,18%,0%,52%,6%,0%,0%,25,12,7,0,32.0,2/12,1/7,,24.0,2/12,1/7,,(7.3 - 40.7),,,,27.3,2/11,1/5,,6/19,2/10,1/5,,12.0,1/12,2/7,,3.2,3.1,2.4,,2/8,0/2,0/1,,0/8,0/2,1/1,,2/6,0/2,1/1,,5,0,0,0,1/5,,,,4.0,,,,0,0,1,0,,,0/1,,0,0,0,0,,,,,,,5.0,
INTRAVAGINAL CULTURE FERTILIZATION PROGRAM,LITTLE ROCK,LITTLE ROCK,ARKANSAS,Yes,No,No,No,No,100%,0%,0%,0%,0%,0%,50%,14%,4%,0%,23%,0%,9%,16,6,0,0,2/16,0/6,,,1/16,0/6,,,,,,,1/14,0/5,,,1/12,0/3,,,2/16,1/6,,,2.5,2.3,,,0/2,,,,0/2,,,,0/1,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES IVF,LITTLE ROCK,LITTLE ROCK,ARKANSAS,Yes,No,Yes,Yes,No,99%,0%,1%,0%,16%,0%,36%,21%,0%,12%,16%,4%,10%,83,32,21,5,41.0,31.3,19.0,0/5,28.9,25.0,14.3,0/5,(19.2 - 38.7),(10.0 - 40.0),(0.0 - 29.3),,32.0,26.7,3/16,0/3,32.4,29.6,3/15,0/3,9.6,6.3,23.8,2/5,3.3,3.4,3.5,3.0,29.4,3/10,1/4,,14.7,3/10,0/4,,25.0,5/8,1/3,,44,7,3,1,9.1,0/7,0/3,0/1,3.4,3.1,1.7,1.0,1,0,1,4,1/1,,1/1,2/4,0,0,0,2,,,,0/2,4.0,,3.0,3.5
FERTILITY TREATMENT CENTER,CHANDLER,CHANDLER,ARIZONA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,14%,1%,37%,15%,4%,12%,25%,3%,4%,36,29,18,12,41.7,20.7,3/18,2/12,36.1,20.7,3/18,2/12,(20.4 - 51.8),(5.9 - 35.4),,,38.2,28.6,3/17,2/10,39.4,30.0,3/15,2/10,5.6,27.6,1/18,2/12,4.5,4.2,3.9,6.0,2/15,1/6,0/3,0/2,2/15,2/6,1/3,0/2,4/13,3/6,1/3,0/2,16,5,3,1,5/16,0/5,0/3,0/1,4.3,4.4,5.0,4.0,1,1,2,7,0/1,1/1,1/2,3/7,0,2,0,3,,1/2,,0/3,3.0,3.3,4.5,4.3
WEST VALLEY FERTILITY CENTER,GLENDALE,GLENDALE,ARIZONA,No,Yes,No,No,No,100%,0%,0%,0%,39%,0%,32%,8%,0%,48%,4%,0%,8%,17,4,2,0,8/17,2/4,0/2,,7/17,2/4,0/2,,,,,,7/17,2/4,0/2,,7/17,2/4,0/2,,0/17,0/4,0/2,,4.4,4.0,5.0,,3/8,0/2,,,3/8,0/2,,,5/7,0/2,,,2,0,0,0,0/2,,,,3.5,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
"ARIZONA INSTITUTE OF REPRODUCTIVE MEDICINE, LTD.",PHOENIX,PHOENIX,ARIZONA,Yes,Yes,Yes,Yes,Yes,98%,0%,0%,2%,59%,2%,28%,14%,0%,32%,9%,13%,4%,18,8,20,8,8/18,4/8,15.0,1/8,8/18,4/8,10.0,1/8,,,(0.0 - 23.1),,8/18,4/8,2/14,1/6,8/16,4/8,2/13,1/5,0/18,0/8,30.0,2/8,3.9,3.6,3.9,3.4,4/8,0/4,0/3,1/1,1/8,0/4,0/3,0/1,4/8,0/4,0/2,1/1,12,8,3,3,5/12,4/8,1/3,1/3,4.3,3.4,3.0,4.0,0,0,0,4,,,,1/4,0,2,0,10,,0/2,,6/10,,5.0,,3.9
IVF PHOENIX,PHOENIX,PHOENIX,ARIZONA,Yes,Yes,No,Yes,No,76%,12%,12%,0%,32%,2%,39%,2%,6%,20%,2%,1%,30%,25,6,12,7,44.0,3/6,4/12,1/7,24.0,3/6,3/12,1/7,(7.3 - 40.7),,,,24.0,3/5,3/11,1/7,25.0,3/5,3/9,1/7,0.0,1/6,1/12,0/7,3.5,5.2,5.6,4.4,2/11,1/3,2/4,0/1,0/11,0/3,0/4,0/1,2/6,1/3,1/3,0/1,10,1,0,1,5/10,0/1,,0/1,3.9,2.0,,4.0,1,0,0,0,0/1,,,,0,0,0,0,,,,,3.0,,,
SAMARITAN INSTITUTE OF REPRODUCTIVE MEDICINE,PHOENIX,PHOENIX,ARIZONA,Yes,Yes,No,Yes,No,88%,4%,0%,8%,33%,0%,29%,8%,0%,13%,4%,20%,26%,36,27,18,5,55.6,22.2,4/18,1/5,50.0,14.8,3/18,1/5,(33.7 - 66.3),(1.4 - 28.2),,,52.9,4/18,3/7,1/5,52.9,4/18,3/7,1/5,5.6,33.3,11/18,0/5,3.7,3.7,4.3,3.6,35.0,2/6,1/4,0/1,20.0,1/6,1/4,0/1,10/18,2/4,2/3,0/1,13,1,2,0,5/13,0/1,0/2,,3.1,3.0,4.0,,2,1,0,1,2/2,1/1,,1/1,0,2,0,0,,1/2,,,3.0,2.7,,4.0
SOUTHWEST FERTILITY CENTER,PHOENIX,PHOENIX,ARIZONA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,10%,0%,37%,29%,2%,14%,8%,5%,5%,27,12,5,4,29.6,4/12,1/5,1/4,25.9,4/12,1/5,1/4,(9.4 - 42.5),,,,25.9,4/12,1/5,1/4,25.9,4/12,1/4,1/4,0.0,0/12,0/5,0/4,4.5,3.8,4.5,5.0,5/8,1/4,0/1,0/1,0/8,0/4,0/1,0/1,4/7,1/4,0/1,0/1,4,2,3,0,2/4,1/2,0/3,,4.3,4.5,4.0,,0,0,1,1,,,0/1,1/1,0,0,0,0,,,,,,,4.0,4.0
ARIZONA CENTER FOR FERTILITY STUDIES,SCOTTSDALE,SCOTTSDALE,ARIZONA,Yes,Yes,Yes,Yes,Yes,6%,56%,38%,0%,16%,<1%,32%,9%,0%,16%,5%,18%,20%,89,53,39,20,33.7,15.1,35.9,0.0,27.0,13.2,15.4,0.0,(17.7 - 36.2),(4.1 - 22.3),(4.1 - 26.7),,27.9,14.6,17.1,0/17,34.3,20.0,19.4,0/12,3.4,9.4,10.3,,4.8,4.8,5.2,3.2,23.3,3/8,2/14,,13.3,0/8,0/14,,37.5,2/7,2/6,,0,0,1,0,,,0/1,,,,4.0,,4,3,5,22,2/4,1/3,1/5,45.5,0,0,1,0,,,0/1,,4.5,6.0,5.7,5.0
MAYO CLINIC SCOTTSDALE,SCOTTSDALE,SCOTTSDALE,ARIZONA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,63%,0%,5%,21%,5%,58%,11%,0%,0%,7,4,2,3,4/7,2/4,0/2,0/3,4/7,2/4,0/2,0/3,,,,,4/7,2/4,0/2,0/1,4/7,2/4,0/2,,0/7,0/4,0/2,2/3,3.1,3.5,3.0,,3/4,0/2,,,1/4,0/2,,,3/4,0/2,,,1,1,0,0,1/1,0/1,,,3.0,5.0,,,0,0,0,1,,,,0/1,0,0,0,0,,,,,,,,3.0
REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,TUCSON,TUCSON,ARIZONA,Yes,Yes,No,Yes,Yes,88%,6%,0%,6%,23%,0%,27%,16%,0%,21%,31%,4%,1%,64,45,33,15,28.1,11.1,18.2,0/15,23.4,11.1,9.1,0/15,(13.1 - 33.8),(1.9 - 20.3),(0.0 - 18.9),,25.0,12.8,12.0,0/15,28.3,14.3,13.6,0/14,6.3,13.3,24.2,0/15,4.3,4.6,3.9,4.4,6/18,1/5,0/6,,1/18,0/5,1/6,,7/15,1/5,0/3,,26,5,5,8,11.5,0/5,1/5,0/8,4.0,3.6,3.4,4.4,2,2,5,11,2/2,0/2,2/5,1/11,3,2,3,6,0/3,0/2,1/3,0/6,4.6,4.5,4.9,4.6
ALTA BATES IN VITRO FERTILIZATION PROGRAM,BERKELEY,BERKELEY,CALIFORNIA,Yes,Yes,No,Yes,Yes,98%,2%,0%,0%,30%,1%,19%,10%,16%,29%,12%,5%,9%,31,16,37,21,45.2,7/16,27.0,23.8,41.9,5/16,27.0,9.5,(24.6 - 59.3),,(12.7 - 41.3),(0.0 - 22.1),43.3,5/14,33.3,9.5,43.3,5/14,34.5,9.5,3.2,2/16,18.9,0.0,3.8,4.1,4.3,5.3,5/14,0/7,6/10,0/5,1/14,2/7,1/10,1/5,5/13,1/5,7/10,1/2,5,2,3,2,3/5,0/2,0/3,0/2,3.6,2.5,2.0,3.5,0,0,4,18,,,2/4,10/18,0,0,0,7,,,,0/7,,,5.3,3.8
"DONALD N. ADLER, M.D. AND HAL C. DANZER, M.D.",BEVERLY HILLS,BEVERLY HILLS,CALIFORNIA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,0%,38%,0%,19%,3%,1%,40%,12%,4%,22%,26,22,37,33,46.2,13.6,13.5,12.1,34.6,4.5,10.8,0.0,(16.3 - 52.9),(0.0 - 13.2),(0.8 - 20.8),,34.6,5.0,11.4,0.0,34.6,5.0,11.4,0.0,0.0,9.1,5.4,18.2,3.7,3.8,4.0,3.4,4/12,0/3,1/5,0/4,3/12,2/3,0/5,0/4,6/9,1/1,1/4,,18,2,6,10,4/18,2/2,1/6,1/10,3.6,3.5,3.3,4.4,1,1,6,11,0/1,0/1,2/6,5/11,0,0,0,1,,,,0/1,3.0,4.0,3.8,3.5
REPRODUCTIVE MEDICINE AND SURGERY ASSOCIATES,BEVERLY HILLS,BEVERLY HILLS,CALIFORNIA,Yes,Yes,Yes,Yes,No,98%,1%,0%,1%,33%,0%,22%,13%,3%,28%,14%,3%,16%,87,52,74,80,39.1,34.6,35.1,12.5,36.8,30.8,25.7,5.0,(26.6 - 46.9),(18.2 - 43.3),(15.7 - 35.6),(0.2 - 9.8),39.5,34.0,28.8,6.7,44.4,39.0,30.2,6.9,6.9,9.6,10.8,25.0,3.4,3.5,3.9,3.4,38.2,5/18,7.7,1/10,17.6,0/18,3.8,0/10,59.4,4/16,2/19,1/4,21,8,23,6,19.0,1/8,21.7,0/6,3.3,4.0,3.9,3.0,3,1,1,12,2/3,0/1,0/1,8/12,0,1,1,8,,0/1,0/1,0/8,3.7,3.0,4.0,3.8
"WEST COAST INFERTILITY MEDICAL CLINIC, INC.",BEVERLY HILLS,BEVERLY HILLS,CALIFORNIA,Yes,Yes,Yes,Yes,No,84%,0%,15%,1%,12%,0%,24%,13%,0%,14%,12%,6%,31%,25,16,12,20,20.0,1/16,1/12,5.0,16.0,1/16,1/12,5.0,(1.6 - 30.4),,,(0.0 - 14.6),17.4,1/16,1/12,1/16,18.2,1/14,1/11,1/13,8.0,0/16,0/12,20.0,4.5,3.4,3.5,2.7,0/5,0/1,0/1,0/1,0/5,0/1,0/1,0/1,0/4,0/1,0/1,0/1,0,0,0,0,,,,,,,,,3,1,4,3,0/3,1/1,1/4,0/3,0,0,0,0,,,,,4.0,8.0,6.8,6.0
"GIL N. MILEIKOWSKY, M.D.",ENCINO,ENCINO,CALIFORNIA,No,Yes,No,Yes,No,100%,0%,0%,0%,53%,0%,29%,12%,12%,29%,18%,0%,0%,10,3,1,1,3/10,1/3,1/1,0/1,2/10,1/3,1/1,0/1,,,,,2/10,1/3,1/1,0/1,2/9,1/2,1/1,0/1,0/10,0/3,0/1,0/1,5.3,4.5,3.0,3.0,1/3,0/1,1/1,,2/3,1/1,0/1,,0/2,1/1,1/1,,0,0,0,1,,,,0/1,,,,4.0,0,0,1,0,,,1/1,,0,0,0,0,,,,,,,6.0,
WEST COAST FERTILITY CENTERS,FULLERTON,FULLERTON,CALIFORNIA,Yes,Yes,Yes,Yes,Yes,72%,25%,0%,3%,23%,0%,23%,11%,2%,16%,33%,10%,5%,61,39,28,13,41.0,23.1,14.3,5/13,36.1,15.4,7.1,3/13,(24.0 - 48.1),(4.1 - 26.7),(0.0 - 16.7),,39.3,17.6,9.1,3/9,41.5,20.0,10.0,3/7,8.2,12.8,21.4,4/13,4.7,4.1,4.2,4.0,28.0,0/9,1/4,3/5,20.0,3/9,0/4,0/5,40.9,3/6,1/2,2/3,6,4,4,9,0/6,1/4,0/4,1/9,4.3,4.0,3.3,2.7,4,0,4,7,2/4,,1/4,2/7,0,0,0,2,,,,1/2,3.5,,4.3,4.7
WERLIN-ZARUTSKIE FERTILITY CENTERS,IRVINE,IRVINE,CALIFORNIA,Yes,Yes,Yes,Yes,No,93%,2%,1%,4%,40%,0%,27%,11%,4%,28%,14%,16%,0%,76,68,74,47,40.8,19.1,24.3,10.6,31.6,14.7,18.9,4.3,(21.1 - 42.0),(6.3 - 23.1),(10.0 - 27.8),(0.0 - 10.0),32.9,15.9,23.3,5.9,36.4,17.2,25.5,7.4,3.9,7.4,18.9,27.7,4.3,4.3,4.3,4.6,19.4,5/13,2/18,1/5,19.4,2/13,2/18,0/5,45.8,6/10,3/14,0/2,32,21,14,8,21.9,14.3,1/14,0/8,3.7,3.8,4.5,4.1,3,3,3,18,1/3,3/3,1/3,4/18,1,0,3,4,1/1,,3/3,1/4,5.5,6.0,5.2,4.7
REPRODUCTIVE SCIENCES CENTER,LA JOLLA,LA JOLLA,CALIFORNIA,Yes,Yes,Yes,Yes,No,79%,13%,5%,3%,49%,0%,9%,7%,5%,44%,4%,23%,8%,48,23,26,25,37.5,43.5,26.9,12.0,37.5,39.1,7.7,4.0,(23.8 - 51.2),(19.2 - 59.1),(0.0 - 17.9),(0.0 - 11.7),42.9,40.9,8.0,5.0,43.9,42.9,8.3,1/19,12.5,4.3,3.8,20.0,4.5,4.5,4.0,3.4,6/18,3/10,0/7,0/3,4/18,2/10,0/7,0/3,10/18,4/9,0/2,0/1,10,9,4,2,2/10,3/9,1/4,0/2,4.4,5.0,4.8,6.0,2,1,11,13,0/2,1/1,2/11,1/13,2,1,5,12,0/2,0/1,2/5,5/12,5.3,4.5,4.5,4.7
SCRIPPS CLINIC,LA JOLLA,LA JOLLA,CALIFORNIA,Yes,Yes,Yes,Yes,No,96%,1%,0%,3%,38%,0%,20%,27%,6%,25%,17%,1%,4%,26,24,14,7,15.4,8.3,1/14,0/7,11.5,8.3,0/14,0/7,(0.0 - 23.8),(0.0 - 19.4),,,11.5,8.3,0/13,0/7,11.5,8.7,0/10,0/4,0.0,0.0,1/14,0/7,4.4,3.4,3.7,2.5,0/4,0/2,0/1,,0/4,0/2,1/1,,0/3,0/2,,,6,5,5,2,0/6,1/5,1/5,0/2,2.7,3.2,3.0,4.0,0,0,1,1,,,0/1,0/1,0,0,0,1,,,,1/1,,,3.0,3.5
"JANE L. FREDERICK, M.D., INC.",LAGUNA HILLS,LAGUNA HILLS,CALIFORNIA,Yes,Yes,Yes,Yes,No,88%,6%,6%,0%,41%,0%,13%,2%,4%,37%,17%,9%,17%,5,8,3,1,2/5,1/8,1/3,0/1,2/5,1/8,1/3,0/1,,,,,2/5,1/6,1/3,0/1,2/4,1/6,1/3,0/1,0/5,2/8,0/3,0/1,3.8,3.8,5.3,6.0,0/2,0/1,1/1,,1/2,0/1,0/1,,1/2,0/1,0/1,,8,2,0,4,4/8,1/2,,2/4,3.8,3.0,,4.3,1,0,0,6,0/1,,,3/6,0,0,2,5,,,0/2,1/5,3.0,,3.5,3.4
LOMA LINDA UNIVERSITY CENTER FOR FERTILITY AND IVF,LOMA  LINDA,LOMA  LINDA,CALIFORNIA,Yes,No,Yes,Yes,No,89%,4%,0%,7%,44%,0%,40%,7%,4%,21%,3%,10%,15%,26,16,11,2,30.8,4/16,2/11,0/2,30.8,3/16,1/11,0/2,(13.0 - 48.5),,,,36.4,3/15,1/5,0/2,38.1,3/14,1/5,0/2,15.4,1/16,6/11,0/2,3.6,3.9,3.8,2.5,3/8,0/4,0/2,,0/8,0/4,0/2,,2/8,0/3,0/1,,2,2,0,0,1/2,1/2,,,3.5,3.0,,,2,1,2,2,0/2,0/1,0/2,1/2,0,0,0,1,,,,0/1,4.0,5.0,3.5,3.0
UNIVERSITY OF CALIFORNIA LOS ANGELES FERTILITY CENTER,LOS ANGELES,LOS ANGELES,CALIFORNIA,Yes,Yes,Yes,Yes,No,100%,0%,0%,0%,43%,0%,23%,9%,4%,16%,7%,5%,36%,11,7,15,7,2/11,1/7,1/15,2/7,2/11,1/7,0/15,2/7,,,,,2/11,1/7,0/14,2/7,2/11,1/6,0/12,2/6,0/11,0/7,1/15,0/7,3.3,3.0,4.1,3.0,1/2,0/1,0/1,0/2,1/2,0/1,0/1,0/2,1/2,0/1,,0/2,1,0,1,1,0/1,,0/1,0/1,3.0,,5.0,3.0,0,0,4,5,,,2/4,2/5,0,0,1,3,,,0/1,1/3,,,5.8,4.5
"BRIAN SU, M.D.",MONTEREY PARK,MONTEREY PARK,CALIFORNIA,Yes,No,No,Yes,No,100%,0%,0%,0%,29%,0%,27%,9%,0%,14%,45%,5%,0%,9,4,4,4,4/9,2/4,2/4,0/4,4/9,2/4,1/4,0/4,,,,,4/9,2/4,1/2,0/2,4/7,2/3,1/2,0/2,0/9,0/4,2/4,2/4,4.3,3.7,4.0,1.5,0/4,1/2,1/2,,1/4,1/2,0/2,,1/4,2/2,1/1,,0,0,0,0,,,,,,,,,0,1,0,0,,1/1,,,0,0,0,0,,,,,,5.0,,
THE REPRODUCTIVE SPECIALTY INSTITUTE,NEWPORT BEACH,NEWPORT BEACH,CALIFORNIA,Yes,Yes,Yes,Yes,No,74%,13%,4%,9%,57%,0%,14%,11%,7%,18%,21%,29%,0%,12,3,5,3,7/12,1/3,1/5,0/3,4/12,1/3,0/5,0/3,,,,,4/12,1/3,0/4,0/1,4/12,1/3,0/4,0/1,0/12,0/3,1/5,2/3,5.9,8.3,6.0,2.0,1/7,0/1,0/1,,2/7,0/1,0/1,,2/4,0/1,,,0,1,0,0,,0/1,,,,2.0,,,3,2,2,8,1/3,0/2,1/2,2/8,0,0,0,1,,,,0/1,4.7,4.5,4.0,5.0
SOUTHERN CALIFORNIA CENTER FOR REPRODUCTIVE MEDICINE,NEWPORT BEACH,NEWPORT BEACH,CALIFORNIA,Yes,Yes,Yes,Yes,No,92%,4%,0%,4%,42%,0%,20%,13%,3%,23%,7%,29%,5%,65,29,29,33,32.3,41.4,27.6,18.2,23.1,34.5,24.1,12.1,(12.8 - 33.3),(17.2 - 51.8),(8.6 - 39.7),(1.0 - 23.3),25.0,38.5,30.4,16.0,26.8,45.5,31.8,17.4,7.7,10.3,20.7,24.2,4.3,4.5,4.1,3.8,28.6,5/12,2/8,1/6,9.5,3/12,1/8,0/6,7/15,5/10,3/7,1/4,30,9,8,5,20.0,1/9,2/8,0/5,3.3,3.8,3.1,3.6,3,3,1,16,1/3,2/3,0/1,8/16,0,1,1,11,,0/1,0/1,2/11,4.3,3.0,4.0,4.0
