Clinic_Name,Clinic_City,Clinic_State,SART_Member,Single_Women,Surrogates,Donor_Eggs_Shared,IVF_Rate,GIFT_Rate,ZIFT_Rate,ICSI_Rate,Diag_TubalRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Number_Cycles_LT35,Number_Cycles_35to39,Number_Cycles_GT39,Preg_Per_Cycle_LT35,Preg_Per_Cycle_35to39,Preg_Per_Cycle_GT39,Preg_Per_Cycle_Conf,Live_Births_Cycle_LT35,Live_Births_Cycle_35to39,Live_Births_Cycle_GT39,Live_Birthsr_Cycle_Conf,Live_Births_Retrv_LT35,Live_Births_Retrv_35to39,Live_Births_Retrv_GT39,Live_Births_Retrv_Conf,Live_Births_Trans_LT35,Live_Births_Trans_35to39,Live_Births_Trans_GT39,Live_Births_Trans_Conf,Cancel_LT35,Cancel_35to39,Cancel_GT39,AVG_Embryos_LT35,AVG_Embryos_35to39,AVG_Embryos_GT39,MultBirth_TW_LT35,MultBirth_TW_35to39,MultBirth_TW_GT39,MultBirth_TR_LT35,MultBirth_TR_35to39,MultBirth_TRW_GT39,Num_Transfer_LT35,Num_Transfer_35to39,Num_Transfer_GT39,Live_Births_TX_LT35,Live_Births_TX_35to39,Live_Births_TX_GT39,AVG_Num_TX_LT35,AVG_Num_TX_35to39,AVG_Num_TX_GT39,Num_Fresh_TX_LT35,Num_Fresh_TX_35to39,Num_Fresh_TX_GT39,Live_TX_LT35,Live_TX_35_39,Live_TX_GT39,AVG_TX_LT35,AVG_TX_35to39,AVG_TX_GT39
NATIONAL FERTILITY CENTER OF TEXAS,DALLAS,TEXAS,YES,YES,NO,0%,100%,0%,0%,14%,20%,17%,5%,5%,53%,0%,   50,   32,   14,30.0,12.5,1/14,19.6 (12.0-27.1),20.0,6.3,1/14,12.7 (6.3-19.1),23.8,8.3,1/11,15.6 (7.8-23.4),28.6,2/19,1/10,18.7 (9.6-27.9),16.0,25.0,3/14,5.0,5.3,3.9,8.6,0/19,0/10,5.7,1/19,0/10,4,2,0,0/4,1/2,,4.5,5.5,,0,1,1,,1/1,0/1,,6.0,1.0
PRESBYTERIAN HOSPITAL OF DALLAS ART PROGRAM,DALLAS,TEXAS,YES,NO,NO,0%,79%,6%,15%,13%,24%,14%,0%,10%,22%,30%,   64,   48,   21,20.3,22.9,23.8,21.9 (14.8-28.9),18.8,22.9,14.3,19.4 (12.7-26.1),21.1,27.5,3/17,22.8 (15.1-30.5),26.7,34.4,3/13,28.8 (19.4-38.1),10.9,16.7,19.1,3.3,3.2,3.0,6.7,9.4,1/13,4.4,6.3,0/13,7,1,1,2/7,0/1,0/1,3.3,4.0,6.0,0,0,0,,,,,,
UNIVERSITY OF TEXAS SOUTHWESTERN,DALLAS,TEXAS,YES,YES,NO,<5%,77%,23%,0%,11%,39%,16%,2%,14%,13%,16%,   96,   52,   11,37.5,30.8,1/11,30.0 (22.9-37.0),33.3,25.0,1/11,26.0 (19.2-32.8),38.6,28.9,1/7,30.7 (22.5-38.9),41.0,31.7,1/7,32.9 (24.3-41.4),13.5,13.5,4/11,4.8,4.5,5.1,14.1,12.1,1/7,5.1,4.9,0/7,5,1,2,0/5,0/1,0/2,2.8,2.0,3.5,5,2,6,2/5,1/2,2/6,5.0,2.5,3.2
BAYLOR ART PROGRAM,HOUSTON,TEXAS,YES,YES,NO,0%,100%,0%,0%,36%,21%,14%,9%,42%,5%,9%,   62,   45,   14,41.9,28.9,5/14,36.2 (27.6-44.9),40.9,24.2,5/14,33.5 (25.0-42.0),41.7,32.4,5/13,37.7 (28.3-47.0),42.4,33.3,5/12,38.8 (29.2-48.4),3.2,24.4,1/14,5.4,4.6,4.2,20.3,9.1,0/12,6.8,6.1,0/12,5,5,1,1/5,1/5,0/1,3.6,4.4,4.0,1,1,10,0/1,0/1,3/10,3.0,6.0,5.3
OB/GYN ASSOCIATES LABORATORY FOR ART,HOUSTON,TEXAS,YES,NO,NO,0%,96%,3%,1%,49%,36%,12%,0%,32%,16%,4%,  205, 150,  69,20.9,10.6,10.1,15.2(11.9 - 18.6),16.0,7.3,5.7,11.0 (8.1 - 13.9),18.1,9.0,6.7,12.8 (9.4 - 16.1),19.1,9.2,7.4,13.4 (9.9 - 16.9),10.8,15.1,14.8,4.0,3.9,3.6,3.7,2.2,0.0,1.1,0.0,0.0,86,45,19,14.0,11.1,10.5,3.0,3.0,2.8,0,3,7,,0/3,1/7,,5.0,2.7
TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,LUBBOCK,TEXAS,YES,YES,NO,0%,98%,2%,0%,18%,49%,7%,0%,11%,33%,0%,   28,    9,    3,25.0,4/9,0/3,,17.9,4/9,0/3,,19.2,4/9,0/2,,20.8,4/9,0/2,,7.1,0/9,1/3,3.5,3.7,3.0,12.5,1/9,0/2,0.0,0/9,0/2,0,0,0,,,,,,,0,0,0,,,,,,
THE CENTER FOR REPRODUCTIVE MEDICINE,LUBBOCK,TEXAS,YES,YES,YES,67%,100%,0%,0%,19%,25%,25%,0%,19%,31%,0%,   37,   24,    4,35.0,8.3,1/4,,32.4,8.3,1/4,,33.3,9.5,1/2,,36.4,2/13,1/1,,2.7,13.0,2/4,4.0,3.4,4.0,18.1,0/13,0/1,0.0,0/13,0/1,5,3,1,2/5,1/3,0/1,3.6,2.6,3.0,1,3,6,1/1,1/3,2/6,5.0,4.0,4.0
FERTILITY CENTER OF SAN ANTONIO,SAN ANTONIO,TEXAS,YES,YES,YES,0%,99%,0%,1%,26%,29%,8%,8%,34%,18%,3%,   74,   55,   32,38.2,21.8,18.8,28.8 (22.0-35.6),32.9,18.2,9.4,23.4 (17.0-29.7),35.7,18.9,11.5,25.3 (18.5-32.1),37.3,20.4,13.0,26.8 (19.7-33.9),7.9,3.6,18.8,3.9,3.7,3.5,7.5,2.0,4.4,1.5,0.0,0.0,16,17,3,4/16,2/17,1/3,3.6,3.4,2.7,2,0,1,0/2,,0/1,3.5,,4.0
SOUTH TEXAS FERTILITY CENTER,SAN ANTONIO,TEXAS,YES,YES,NO,0%,100%,0%,0%,7%,42%,18%,1%,21%,9%,9%,   40,   36,   30,17.5,22.2,3.3,16.7 (9.3-24.0),17.5,16.7,3.3,14.7 (7.6-21.7),20.0,18.8,4.4,16.7 (8.8-26.7),21.2,19.4,1/19,17.7 (9.3-26.0),12.5,11.1,23.3,3.2,3.7,3.3,0.0,6.5,0/19,3.1,0.0,0/19,22,7,9,9.1,1/7,0/9,3.3,3.0,4.2,7,1,16,3/7,0/1,6/16,3.9,3.0,3.8
CENTER FOR REPRODUCTIVE MEDICINE,WEBSTER,TEXAS,YES,YES,YES,YES,100%,0%,0%,0%,62%,29%,0%,3%,3%,3%,   14,   13,    7,3/14,2/13,3/7,23.1 (9.3-36.9),3/14,2/13,1/7,18.0 (5.0-31.0),3/13,2/11,1/6,20.2 (5.9-34.6),3/12,2/10,1/4,,1/14,2/13,1/7,4.0,3.8,3.3,1/12,1/10,0/4,0/12,0/10,0/4,2,1,1,0/2,0/1,0/1,2.0,2.0,2.0,0,0,0,,,,,,
UTAH CENTER FOR REPRODUCTIVE MEDICINE,SALT LAKE CITY,UTAH,YES,NO,NO,0%,96%,4%,0%,15%,34%,24%,7%,20%,4%,11%,   78,   47,   11,37.2,27.7,3/11,32.0 (23.7-40.2),35.9,25.5,2/11,29.0 (21.2-36.8),42.4,31.6,2/10,34.5 (25.6-43.3),50.0,37.5,2/8,37.4 (28.1-46.7),11.5,8.5,1/11,3.8,3.5,4.3,19.6,15.6,0/8,5.4,0.0,0/8,1,4,6,0/1,0/4,1/6,2.0,3.8,4.0,1,4,6,0/1,0/4,1/6,2.0,3.8,4.0
UNIVERSITY OF VERMONT IVF PROGRAM,BURLINGTON,VERMONT,YES,YES,NO,0%,100%,0%,0%,0%,54%,11%,0%,13%,9%,13%,   22,   19,   10,31.8,3/19,1/10,22.1 (10.9-33.3),27.3,3/19,0/10,18.2 (7.8-28.6),30.0,3/15,0/8,21.0 (9.2-32.8),31.6,3/15,0/7,21.7 (9.7-33.8),10.0,4/19,2/10,3.6,3.5,4.7,1/19,2/15,0/7,0/19,0/15,0/7,1,3,1,0/1,0/3,0/1,6.0,4.3,5.0,0,0,0,,,,,,
DOMINION FERTILITY AND ENDOCRINOLOGY,ARLINGTON,VIRGINIA,YES,YES,YES,0%,94%,4%,2%,,32%,12%,1%,22%,28%,5%,   56,   56,    1,25.0,14.0,0/1,,19.7,9.4,0/1,,24.5,12.8,0/1,,25.5,13.5,0/1,,19.7,28.3,0/1,3.6,3.7,6.0,10.6,2.7,0/1,2.1,0.0,0/1,3,8,3,1/3,0/8,0/3,,,,0,5,7,,3/5,3/7,,3/8,3/7
EASTERN VIRGINIA MEDICAL SCHOOL,NORFOLK,VIRGINIA,YES,YES,YES,36%,99%,<1%,<1%,45%,27%,12%,0%,42%,7%,12%,  182,  165,   73,23.6,28.5,20.7,24.1 (20.0-28.1),18.7,20.0,11.0,17.8 (14.1-21.4),20.4,22.6,13.8,20.0 (16.0-24.1),22.4,23.9,14.8,21.6 (17.2-25.9),8.2,11.5,20.6,3.5,4.4,4.4,9.9,3.6,0.0,1.3,0.0,0.0,74,54,11,24.3,22.2,1/11,3.4,3.4,3.2,14,19,48,6/14,7/19,16.7,3.6,4.0,3.8
JOHNSTON-WILLIS HOSPITAL ART/IVF PROGRAM,RICHMOND,VIRGINIA,YES,YES,NO,0%,99%,1%,0%,0%,37%,43%,7%,2%,7%,4%,   41,   31,    7,26.8,41.9,1/7,30.0 (20.0-40.0),24.4,29.0,1/7,24.2 (14.7-33.8),27.8,32.1,1/6,27.3 (16.7-38.0),27.8,32.1,1/6,27.3 (16.7-38.0),12.0,9.7,1/7,4.0,3.9,4.0,11.1,3.6,0/6,2.8,3.6,0/6,3,3,0,0/3,0/3,,3.0,2.3,,0,0,0,,,,,,
MEDICAL COLLEGE OF VIRGINIA IVF PROGRAM,RICHMOND,VIRGINIA,YES,YES,YES,0%,88%,10%,2%,0%,48%,13%,0%,16%,7%,16%,   47,   30,   14,27.6,13.3,3/14,21.3 (13.1-29.6),19.1,6.7,2/14,13.8 (6.8-20.7),22.5,7.1,2/12,15.9 (8.1-23.8),23.1,7.7,2/10,17.0 (8.6-25.4),15.0,6.7,2/14,4.8,4.3,5.2,5.1,3.8,1/10,0.0,0.0,0/10,15,4,4,4/15,0/4,1/4,3.9,4.3,2.8,1,1,3,0/1,1/1,1/3,1.0,3.0,4.0
RICHMOND CENTER FOR FERTILITY AND ENDOCRINOLOGY LTD.,RICHMOND,VIRGINIA,YES,YES,YES,0%,71%,15%,14%,0%,41%,10%,0%,15%,21%,13%,   28,   26,   13,28.6,19.2,1/13,21.5 (11.7-31.2),21.4,19.2,1/13,18.1 (8.9-27.4),25.0,25.0,1/9,22.5 (11.4-33.6),26.1,5/14,1/5,28.5 (14.7-42.2),14.3,23.1,4/13,4.4,3.9,2.8,0.0,1/14,0/5,4.4,0/14,0/5,6,4,3,1/6,2/4,1/3,2.8,3.8,3.0,2,0,0,0/2,,,3.5,,
WASHINGTON CENTER FOR REPRODUCTIVE MEDICINE,BELLEVUE,WASHINGTON,YES,YES,NO,0%,100%,0%,0%,0%,61%,24%,0%,3%,7%,5%,   16,   21,    1,3/16,9.5,0/1,,3/16,9.5,0/1,,3/11,2/14,0/1,,3/11,2/13,0/1,,5/16,33.3,0/1,4.3,3.7,2.0,1/11,0/13,0/1,0/11,0/13,0/1,0,1,0,,0/1,,,4.0,,0,1,0,,0/1,,,6.0,
OLYMPIA WOMEN'S HEALTH,OLYMPIA,WASHINGTON,YES,YES,NO,2%,100%,0%,0%,0%,70%,3%,0%,13%,5%,9%,   41,   18,    4,24.4,5/18,2/4,,21.2,4/18,1/4,,23.7,4/17,1/4,,26.5,4/17,1/4,,7.3,1/18,0/4,4.9,5.0,7.3,2.9,1/17,1/4,0.0,0/17,0/4,1,0,0,0/1,,,5.0,,,0,0,1,,,0/1,,,1.0
SEATTLE FERTILITY AND GYNECOLOGY CLINIC/,SEATTLE,WASHINGTON,YES,YES,YES,0%,90%,5%,5%,14%,31%,13%,15%,28%,3%,10%,   62,   43,   30,14.5,11.6,6.7,12.1 (6.5-17.6),9.7,7.0,3.3,7.6 (3.1-12.1),12.0,9.7,1/16,10.1 (4.2-16.1),20.7,3/16,1/4,,19.4,27.9,46.7,3.5,4.1,4.3,3.5,1/16,0/4,0.0,0/16,0/4,37,37,12,16.2,13.5,1/12,3.2,3.5,3.0,0,0,3,,,1/3,,,3.3
UNIVERSITY OF WASHINGTON FERTILITY AND ENDOCRINE CENTER,SEATTLE,WASHINGTON,YES,YES,NO,0%,97%,3%,0%,30%,41%,8%,2%,22%,15%,12%,   88,  108,   41,37.5,24.1,14.6,28.0 (22.2-33.8),32.9,17.6,7.3,22.8 (17.4-28.2),34.1,20.7,8.6,24.7 (18.9-30.4),35.4,22.4,9.1,25.9 (19.9-31.9),3.4,15.7,17.1,4.1,3.7,4.0,11.0,3.5,3.0,4.9,4.9,0.0,4,3,0,1/4,2/3,,4.0,2.7,,7,7,47,3/7,1/7,31.9,3.9,3.4,3.7
VIRGINIA MASON FERTILITY AND REPRODUCTIVE ENDOCRINE CENTER,SEATTLE,WASHINGTON,YES,YES,NO,0%,85%,13%,2%,27%,20%,14%,11%,39%,4%,12%,   53,   76,   50,32.1,17.1,20.0,24.5 (17.7-31.3),24.5,15.8,10.0,18.8 (12.5-25.0),28.3,19.7,12.8,22.4 (15.2-29.6),28.3,20.0,13.9,22.6 (15.4-29.9),13.2,19.7,22.0,4.8,5.0,5.3,10.9,5.0,0.0,6.5,0.0,0.0,0,5,5,,1/5,0/5,,3.0,3.8,0,4,8,,2/4,4/8,,4.5,4.9
"GYFT CLINIC, PLLC",TACOMA,WASHINGTON,YES,YES,YES,0%,82%,17%,1%,0%,41%,16%,0%,8%,15%,20%,   48,   37,   10,10.4,18.9,1/10,13.4 (6.5-20.3),8.3,16.2,1/10,11.5 (5.0-18.0),9.1,18.2,1/7,12.3 (5.6-21.0),11.1,23.1,1/5,17.1 (7.2-26.8),8.3,10.8,3/10,3.9,3.4,2.6,0.0,0.0,0/5,0.0,3.9,0/5,0,0,0,,,,,,,1,0,2,0/1,,0/2,1.0,,4.5
WEST VIRGINIA UNIVERSITY CENTER FOR REPRODUCTIVE MEDICINE,CHARLESTON,WEST VIRGINIA,YES,YES,NO,0%,79%,21%,0%,18%,55%,21%,1%,6%,5%,12%,   42,   21,   14,23.8,9.5,4/14,19.5 (10.9-28.1),21.4,9.5,1/14,14.6 (6.9-22.2),26.5,2/16,1/11,18.3 (8.8-27.8),28.1,2/16,1/11,19.1 (9.3-28.8),19.1,23.8,3/14,4.2,4.7,4.7,6.3,1/16,0/11,0.0,0/16,0/11,5,3,1,1/5,0/3,0/1,3.2,3.7,2.0,1,0,0,0/1,,,4.0,,
APPLETON MEDICAL CENTER IVF,APPLETON,WISCONSIN,YES,NO,NO,0%,57%,43%,0%,0%,38%,10%,5%,10%,5%,32%,    9,   10,    2,1/9,1/10,0/2,,1/9,1/10,0/2,,1/9,1/5,0/1,,1/7,1/4,,,0/9,5/10,1/2,4.7,3.5,0.0,0/7,1/4,,0/7,0/4,,5,1,0,0/5,0/1,,2.6,3.0,,0,0,0,,,,,,
GUNDERSEN/LUTHERAN MEDICAL CENTER,LA CROSSE,WISCONSIN,YES,YES,NO,0%,29%,71%,0%,0%,24%,20%,2%,3%,47%,4%,   40,   17,    2,30.0,7/17,1/2,,27.5,6/17,1/2,,32.4,6/15,1/2,,33.3,6/15,1/2,,15.0,2/17,0/2,3.8,4.1,5.5,12.1,2/15,0/2,3.0,0/15,0/2,0,0,0,,,,,,,0,0,0,,,,,,
WOMEN'S ENDOCRINE CLINIC,MADISON,WISCONSIN,YES,YES,YES,0%,79%,21%,0%,0%,58%,6%,0%,9%,6%,21%,   18,   12,    1,3/18,3/12,0/2,,2/18,1/12,0/2,,2/17,1/12,0/2,,2/16,1/12,0/2,,1/18,0/12,0/2,4.5,3.6,3.5,0/16,0/12,0/2,0/16,0/12,0/2,1,1,0,0/1,1/1,,3.0,4.0,,1,1,0,0/1,0/1,,7.0,2.0,
MARSHFIELD CLINIC FERTILITY CENTER,MARSHFIELD,WISCONSIN,YES,YES,NO,0%,100%,0%,0%,0%,29%,14%,0%,14%,29%,14%,    2,    5,    0,0/2,1/5,,,0/2,1/5,,,0/2,1/4,,,0/2,1/3,,,0/2,1/5,,2.0,1.7,,0/2,0/3,,0/2,0/3,,0,0,0,,,,,,,1,0,0,0/1,,,4.0,,
REPRODUCTIVE SPECIALTY CENTER,MILWAUKEE,WISCONSIN,YES,YES,YES,0%,45%,53%,2%,0%,41%,18%,12%,8%,4%,17%,   31,   17,    3,32.3,1/17,0/3,,29.0,1/17,0/3,,29.0,1/16,0/3,,30.0,1/16,0/3,,0.0,1/17,0/3,4.1,4.0,9.0,0.0,0/16,0/3,3.3,0/16,0/3,13,8,0,0/13,0/8,,4.2,4.0,,0,0,1,,,0/1,,,3.0
ADVANCED INSTITUTE OF FERTILITY,MILWAUKEE & WAUKESHA,WISCONSIN,YES,YES,YES,0%,88%,12%,0%,38%,34%,15%,2%,24%,18%,7%,  128,   99,   30,30.5,24.2,16.7,25.7 (20.4-31.1),23.4,21.2,10.0,20.2 (15.4-25.1),28.0,25.3,3/19,24.8 (18.9-30.8),28.9,25.6,3/18,25.5 (19.4-31.6),16.4,16.2,36.7,4.1,4.3,4.1,5.8,4.9,1/18,2.9,2.4,0/18,62,36,16,21.0,8.3,3/16,3.3,3.0,3.2,2,8,7,0/2,4/8,5/7,2.5,3.5,3.7
WOMENCARE-WAUKESHA MEMORIAL HOSPITAL,WAUKESHA,WISCONSIN,YES,NO,YES,0%,100%,0%,0%,7%,36%,12%,5%,12%,33%,2%,   14,   19,    9,4/14,6/19,1/9,26.5 (12.8-40.3),3/14,3/19,1/9,17.5 (5.5-29.6),3/14,3/18,1/7,18.4 (5.9-31.0),3/13,3/18,1/5,20.2 (6.5-34.0),0/14,1/19,2/9,3.1,3.0,3.2,0/13,1/18,1/5,0/13,0/18,0/5,15,6,4,1/15,0/6,0/4,2.9,2.5,3.5,0,0,0,,,,,,
WOMEN'S HEALTH CARE IVF PROGRAM,WAUKESHA,WISCONSIN,YES,YES,NO,0%,88%,12%,0%,23%,18%,35%,3%,10%,33%,1%,   20,   16,    3,25.0,2/16,1/3,,25.0,2/16,1/3,,5/19,2/16,1/3,,5/19,2/16,1/3,,5.0,0/16,0/3,4.1,3.2,3.7,1/19,0/16,0/3,0/19,0/16,0/3,5,9,1,2/5,3/9,0/1,2.4,3.1,6.0,0,0,0,,,,,,
"CLINIC OF OBSTETRICS AND GYNECOLOGY, LTD.",WEST ALLIS,WISCONSIN,YES,NO,NO,0%,87%,13%,0%,38%,27%,46%,0%,27%,0%,0%,    7,    5,    3,3/7,2/5,0/3,,3/7,2/5,0/3,,3/7,2/5,0/3,,3/7,2/4,0/2,,0/7,0/5,0/3,3.1,4.5,3.0,1/7,1/4,0/2,0/7,0/4,0/2,0,2,0,,0/2,,,3.5,,0,0,0,,,,,,
