PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT,Combos,ICSI,Unstim,Tubal,Male,Ovulat,Endo,Uterin,Other,Unkno,MDFirst,MDMiddle,Mdlast,MDSuffix,FrCy30,FrCy35,FrCy40,FrCy45,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr45PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,Fr45LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvCr45,FrLvRt30,FrLvRt35,FrLvRt40,FrLvRt45,FrLvTx30,FrLvTx35,FrLvTx40,FrLvTx45,FrCnCy30,FrCnCy35,FrCnCy40,FrCnCy45,FrEmTr30,FrEmTr35,FrEmTr40,FrEmTr45,FrTwGst30,FrTwGst35,FrTwGst40,FrTwGst45,FrTpGst30,FrTpGst35,FrTpGst40,FrTpGst45,FrMbLv30,FrMbLv35,FrMbLv40,FrMbLv45,CrTr30,CrTr35,CrTr40,CrTr45,CrLvTr30,CrLvTr35,CrLvTr40,CrLvTr45,CrEmTr30,CrEmTr35,CrEmTr40,CrEmTr45,FdTr30,FdTr35,FdTr40,FdTr45,FdLvTr30,FdLvTr35,FdLvTr40,FdLvTr45,FdEms30,FdEms35,FdEms40,FdEms45,CdTr30,CdTr35,CdTr40,CdTr45,CdLvTr30,CdLvTr35,CdLvTr40,CdLvTr45,CdEms30,CdEms35,CdEms40,CdEms45,CurrClinName1,CurrClinName2,DonorEgg,DnrEmbryo,Single,Gest,Cryo,SART,Accred
THE REPRODUCTIVE SCIENCE CENTER OF BOSTON,,WALTHAM,MA,98%,2%,<1%,0%,34%,0%,18%,31%,11%,11%,2%,19%,8%,Patricia,M.,McShane,", M.D.",422,246,234,117,42.2,37.0,30.8,17.9,35.1,30.1,23.9,12.0,(30.5 - 39.6),(24.4 - 35.8),(18.5 - 29.4),(6.1 - 17.8),37.6,34.1,28.3,15.7,39.4,36.8,30.1,16.3,6.6,11.8,15.4,23.9,2.4,2.9,3.1,3.3,37.1,26.4,26.4,9.5,4.5,6.6,8.3,0.0,37.8,28.4,25.0,2/14,102,56,45,27,24.5,23.2,17.8,25.9,2.7,2.9,2.7,2.6,12,5,14,43,3/12,2/5,3/14,34.9,2.4,2.4,2.5,2.5,0,0,0,0,,,,,,,,,The Reproductive Science Center of Boston,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
FERTILITY CENTER OF MARYLAND,,BALTIMORE,MD,92%,7%,<1%,<1%,24%,0%,29%,11%,14%,34%,<1%,10%,2%,Santiago,L.,Padilla,", M.D.",107,46,50,30,29.9,30.4,28.0,16.7,28.0,19.6,22.0,10.0,(19.5 - 36.5),(8.1 - 31.0),(10.5 - 33.5),(0.0 - 20.7),30.9,20.9,26.2,11.5,31.3,21.4,26.2,12.5,9.3,6.5,16.0,13.3,3.6,4.2,3.9,4.0,12.5,3/14,3/14,0/5,15.6,2/14,1/14,1/5,26.7,3/9,3/11,1/3,24,19,12,4,8.3,5/19,0/12,2/4,3.3,2.8,3.1,2.5,0,0,3,1,,,1/3,0/1,,,3.3,4.0,0,0,2,0,,,1/2,,,,3.5,,Fertility Center of Maryland,,Yes,No,No,Yes,Yes,Yes,Pending
GBMC FERTILITY CENTER,,BALTIMORE,MD,97%,<1%,2%,<1%,33%,0%,29%,34%,2%,21%,0%,5%,9%,Eugene,,Katz,", M.D.",199,102,71,31,35.7,28.4,11.3,9.7,30.7,23.5,7.0,9.7,(24.2 - 37.1),(15.3 - 31.8),(1.1 - 13.0),(0.0 - 20.1),32.1,24.2,7.8,11.1,32.8,24.5,7.9,12.0,4.5,2.9,9.9,12.9,3.7,3.9,4.9,5.1,33.8,13.8,3/8,0/3,8.5,6.9,0/8,0/3,42.6,16.7,2/5,0/3,93,30,21,9,16.1,10.0,9.5,3/9,3.5,3.3,3.7,3.7,8,3,7,7,5/8,3/3,4/7,2/7,3.6,3.7,3.0,4.1,0,0,1,4,,,0/1,0/4,,,2.0,3.0,GBMC Fertility Center,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
HELIX CENTER FOR ART,,BALTIMORE,MD,97%,2%,<1%,<1%,24%,0%,42%,15%,7%,21%,4%,11%,0%,Nathan,G.,Berger,", M.D.",60,27,20,14,31.7,11.1,10.0,1/14,30.0,11.1,10.0,0/14,(18.4 - 41.6),(0.0 - 23.0),(0.0 - 23.1),,36.7,13.6,2/15,0/12,38.3,15.0,2/14,0/12,18.3,18.5,25.0,2/14,3.9,3.7,3.6,3.8,5/19,1/3,1/2,0/1,3/19,1/3,0/2,0/1,8/18,2/3,1/2,,6,2,3,1,1/6,0/2,0/3,0/1,3.8,6.0,3.7,4.0,0,1,0,2,,1/1,,0/2,,4.0,,3.5,0,0,0,0,,,,,,,,,Helix Center for ART,,Yes,No,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF MARYLAND MEDICAL SCHOOL,CENTER FOR ADVANCED REPRODUCTIVE TECHNOLOGY,BALTIMORE,MD,99%,0%,1%,0%,14%,0%,51%,11%,14%,12%,4%,4%,4%,Fady,I.,Sharara,", M.D.",40,19,11,2,37.5,5/19,2/11,0/2,30.0,5/19,2/11,0/2,(15.8 - 44.2),,,,36.4,5/14,2/8,0/1,36.4,5/14,2/8,0/1,17.5,5/19,3/11,1/2,3.6,4.4,4.4,7.0,6/15,1/5,1/2,,1/15,0/5,0/2,,6/12,1/5,0/2,,6,1,0,1,3/6,0/1,,0/1,3.7,4.0,,4.0,0,0,1,2,,,0/1,1/2,,,2.0,3.5,0,0,0,1,,,,1/1,,,,3.0,University of Maryland Medical School Center for Advanced Reproductive Technology,,Yes,No,Yes,Yes,Yes,Yes,Yes
MID-ATLANTIC FERTILITY CENTERS,,BETHESDA,MD,94%,3%,2%,<1%,30%,0%,12%,9%,18%,17%,4%,28%,12%,Frank,E.,Chang,", M.D.",66,50,36,29,34.8,32.0,25.0,6.9,31.8,30.0,19.4,3.4,(20.6 - 43.1),(17.3 - 42.7),(6.5 - 32.4),(0.0 - 10.1),35.0,35.7,21.9,4.2,39.6,44.1,25.9,1/18,9.1,16.0,11.1,17.2,3.0,3.1,3.4,4.0,30.4,9/16,4/9,0/2,21.7,1/16,0/9,0/2,52.4,10/15,4/7,0/1,4,5,4,1,0/4,1/5,0/4,1/1,2.8,4.2,2.8,3.0,3,0,6,7,1/3,,3/6,3/7,2.7,,2.3,3.1,0,1,2,0,,0/1,1/2,,,3.0,4.5,,Mid-Atlantic Fertility Centers,,Yes,No,Yes,Yes,Yes,Yes,Yes
JOHNS HOPKINS FERTILITY CENTER,,LUTHERVILLE,MD,99%,<1%,0%,<1%,27%,0%,36%,22%,2%,27%,0%,12%,<1%,Jairo,E.,Garcia,", M.D.",95,53,78,37,17.9,28.3,16.7,2.7,13.7,15.1,14.1,2.7,(6.8 - 20.6),(5.5 - 24.7),(6.4 - 21.8),(0.0 - 7.9),15.1,16.7,16.4,3.1,16.7,19.0,18.0,3.2,9.5,9.4,14.1,13.5,3.3,3.4,3.8,3.7,5/17,5/15,5/13,0/1,1/17,0/15,0/13,0/1,4/13,2/8,3/11,0/1,30,10,9,5,3.3,2/10,0/9,1/5,2.7,2.8,2.8,2.6,0,0,2,4,,,1/2,3/4,,,3.5,2.8,0,0,0,0,,,,,,,,,Johns Hopkins Fertility Center,,Yes,No,Yes,No,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,,ROCKVILLE,MD,100%,0%,0%,0%,75%,0%,25%,56%,0%,0%,0%,0%,19%,Burt,A.,Littman,", M.D.",7,3,6,0,1/7,0/3,0/6,,1/7,0/3,0/6,,,,,,1/7,0/3,0/6,,1/7,0/3,0/5,,0/7,0/3,0/6,,3.4,3.0,2.4,,0/1,,,,0/1,,,,0/1,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Center for Reproductive Medicine,,No,No,Yes,No,Yes,Yes,Yes
SHADY GROVE FERTILITY CENTERS,,ROCKVILLE,MD,100%,0%,<1%,0%,27%,0%,25%,24%,4%,20%,0%,7%,20%,Michael,J.,Levy,", M.D.",482,267,169,99,32.4,27.3,21.3,11.1,27.4,23.2,14.2,7.1,(23.4 - 31.4),(18.2 - 28.3),(8.9 - 19.5),(2.0 - 12.1),29.6,28.2,17.8,9.3,32.6,30.1,18.9,10.0,7.5,17.6,20.1,24.2,3.3,3.4,3.6,3.8,35.3,32.9,13.9,3/11,9.6,8.2,0.0,0/11,41.7,32.3,12.5,1/7,18,6,2,7,1/18,0/6,0/2,1/7,3.7,4.2,4.0,4.0,7,2,7,29,5/7,0/2,2/7,20.7,3.3,3.5,3.1,3.2,0,0,0,0,,,,,,,,,Shady Grove Fertility Reproductive Science Center,,Yes,No,Yes,Yes,Yes,Yes,Pending
UNIVERSITY OF MICHIGAN MEDICAL CENTER,,ANN ARBOR,MI,98%,0%,2%,0%,42%,0%,31%,33%,23%,10%,0%,3%,0%,Gregory,M.,Christman,", M.D.",58,32,27,8,8.6,12.5,11.1,0/8,6.9,12.5,3.7,0/8,(0.4 - 13.4),(1.0 - 24.0),(0.0 - 10.8),,8.5,14.3,1/16,0/4,8.5,14.8,1/15,0/3,19.0,12.5,40.7,4/8,3.9,3.8,4.5,5.0,3/5,2/4,1/3,,0/5,2/4,0/3,,2/4,3/4,1/1,,20,8,8,2,0.0,0/8,0/8,0/2,3.1,5.4,4.0,5.5,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,University of Michigan Medical Center,,No,No,Yes,No,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,OAKWOOD HOSPITAL,DEARBORN,MI,100%,0%,0%,0%,26%,0%,18%,18%,46%,11%,1%,5%,<1%,David,M.,Magyar,", D.O.",98,40,36,41,26.5,25.0,2.8,4.9,22.4,17.5,2.8,2.4,(14.2 - 30.7),(5.7 - 29.3),(0.0 - 8.1),(0.0 - 7.2),27.8,26.9,4.2,4.3,31.9,30.4,4.3,4.8,19.4,35.0,33.3,43.9,3.7,3.7,3.1,3.9,15.4,1/10,0/1,0/2,11.5,1/10,0/1,0/2,22.7,2/7,0/1,0/1,11,2,1,1,1/11,0/2,1/1,0/1,2.4,1.5,5.0,1.0,3,1,1,1,0/3,0/1,0/1,1/1,2.3,5.0,5.0,3.0,0,0,0,0,,,,,,,,,"Center for Reproductive Medicine, Oakwood Hospital",,Yes,No,Yes,Yes,Yes,Yes,Pending
THE CENTER FOR REPRODUCTIVE MEDICINE,HURLEY MEDICAL CENTER,FLINT,MI,46%,7%,39%,8%,63%,0%,30%,59%,2%,6%,0%,<1%,2%,Mostafa,I.,Abuzeid,", M.D.",94,47,26,18,41.5,25.5,7.7,1/18,37.2,23.4,3.8,0/18,(27.5 - 47.0),(11.3 - 35.5),(0.0 - 11.2),,40.7,28.2,5.0,0/15,41.7,29.7,1/19,0/15,8.5,17.0,23.1,3/18,4.4,4.8,3.7,4.9,20.5,1/12,0/2,0/1,10.3,2/12,0/2,0/1,25.7,3/11,0/1,,18,4,2,0,4/18,1/4,0/2,,3.5,2.8,1.5,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,The Center for Reproductive Medicine - Hurley Medical Center,,No,No,No,No,Yes,Yes,Yes
GRAND RAPIDS FERTILITY/SPECTRUM HEALTH EAST,,GRAND RAPIDS,MI,76%,15%,5%,4%,29%,<1%,31%,28%,13%,5%,<1%,4%,18%,Douglas,C.,Daly,", M.D.",52,38,14,6,36.5,36.8,5/14,0/6,36.5,31.6,5/14,0/6,(23.5 - 49.6),(16.8 - 46.4),,,41.3,35.3,5/14,0/6,42.2,35.3,5/14,0/4,11.5,10.5,0/14,0/6,4.3,4.5,5.0,2.5,8/19,4/14,3/5,,5/19,1/14,0/5,,12/19,5/12,2/5,,15,8,0,1,1/15,0/8,,0/1,5.5,5.0,,7.0,1,4,2,5,1/1,2/4,2/2,2/5,4.0,4.0,4.0,4.4,0,0,0,0,,,,,,,,,Grand Rapids Fertility/Spectrum Health East,,Yes,Yes,No,Yes,Yes,Yes,Pending
MICHIGAN REPRODUCTIVE & IVF CENTER,,GRAND RAPIDS,MI,58%,13%,27%,2%,58%,0%,27%,30%,5%,16%,1%,13%,8%,William,G.,Dodds,", M.D.",189,68,46,16,50.8,39.7,37.0,5/16,45.0,26.5,32.6,5/16,(37.9 - 52.1),(16.0 - 37.0),(19.1 - 46.2),,46.4,27.7,36.6,5/15,47.8,28.1,37.5,5/15,3.2,4.4,10.9,1/16,3.6,3.6,4.2,4.2,32.3,18.5,3/17,0/5,18.8,0.0,1/17,1/5,48.2,4/18,3/15,1/5,28,6,8,3,14.3,1/6,4/8,1/3,3.5,2.7,1.9,4.0,3,5,5,12,1/3,1/5,2/5,3/12,3.7,3.0,3.6,3.7,4,0,0,1,1/4,,,0/1,3.5,,,5.0,Michigan Reproductive & IVF Center,,Yes,Yes,Yes,Yes,Yes,Yes,Pending
"WEST MICHIGAN REPRODUCTIVE INSTITUTE, P.C.",,GRAND RAPIDS,MI,94%,2%,4%,0%,33%,0%,49%,22%,3%,14%,0%,8%,4%,R. Donald,,Eward,", M.D.",40,21,13,12,32.5,28.6,2/13,1/12,27.5,28.6,1/13,0/12,(13.7 - 41.3),(9.2 - 47.9),,,28.9,6/15,1/10,0/6,32.4,6/15,1/10,0/6,5.0,28.6,3/13,6/12,4.3,4.1,5.2,2.5,3/13,3/6,0/2,0/1,5/13,0/6,0/2,0/1,5/11,3/6,0/1,,7,5,2,2,1/7,0/5,1/2,0/2,7.3,5.2,3.0,4.0,3,0,0,2,1/3,,,0/2,4.0,,,4.5,0,0,1,1,,,1/1,1/1,,,5.0,6.0,"West Michigan Reproductive Institute, P.C.",,Yes,Yes,Yes,No,Yes,Yes,Pending
"INFERTILITY AND GYNECOLOGY CENTER OF LANSING, P.C.",,LANSING,MI,53%,15%,31%,1%,46%,0%,44%,24%,4%,18%,3%,2%,5%,Mohammad,,Mohsenian,", M.D.",39,38,12,10,33.3,15.8,0/12,4/10,30.8,7.9,0/12,2/10,(16.3 - 45.3),(0.0 - 16.5),,,36.4,9.7,0/10,2/7,37.5,11.1,0/7,2/5,15.4,18.4,2/12,3/10,3.3,3.2,2.9,4.8,5/13,0/6,,1/4,1/13,2/6,,0/4,6/12,1/3,,1/2,1,0,0,0,1/1,,,,4.0,,,,1,1,1,0,1/1,1/1,0/1,,4.0,4.0,1.0,,0,0,0,0,,,,,,,,,"Infertility and Gynecology Center of Lansing, P.C.",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MICHIGAN STATE UNIVERSITY,CENTER FOR ASSISTED REPRODUCTIVE TECHNOLOGY,LANSING,MI,100%,0%,0%,0%,40%,0%,83%,17%,0%,0%,0%,0%,0%,Harold,,Sauer,", M.D.",5,0,0,0,1/5,,,,1/5,,,,,,,,1/5,,,,1/5,,,,0/5,,,,2.6,,,,0/1,,,,0/1,,,,0/1,,,,1,0,0,0,0/1,,,,4.0,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Michigan State University Center for Assisted Reproductive Technology,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
FAKIH INSTITUTE OF REPRODUCTIVE SCIENCE & TECHNOLOGY,,ROCHESTER HILLS,MI,52%,6%,41%,<1%,67%,0%,16%,39%,19%,14%,2%,8%,2%,Michael,H.,Fakih,", M.D.",150,42,41,26,35.3,31.0,22.0,19.2,28.7,26.2,12.2,7.7,(21.4 - 35.9),(12.9 - 39.5),(2.2 - 22.2),(0.0 - 17.9),29.1,28.9,12.5,8.7,29.5,28.9,12.8,9.1,1.3,9.5,2.4,11.5,5.1,4.6,4.7,4.1,41.5,4/13,2/9,0/5,17.0,2/13,0/9,0/5,53.5,3/11,2/5,0/2,16,7,4,5,3/16,1/7,0/4,1/5,3.4,2.7,2.3,3.0,4,3,11,42,2/4,0/3,4/11,38.1,4.5,4.7,4.4,4.6,0,0,0,0,,,,,,,,,Fakih Institute of Reproductive Science & Technology,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
THE CENTER FOR REPRODUCTIVE MED AT ROCHESTER HILLS,,ROCHESTER HILLS,MI,37%,2%,56%,5%,69%,0%,39%,53%,2%,4%,0%,2%,0%,Mostafa,I.,Abuzeid,", M.D.",30,14,7,3,30.0,3/14,2/7,0/3,26.7,3/14,1/7,0/3,(10.8 - 42.5),,,,26.7,3/11,1/6,0/3,27.6,3/11,1/6,0/3,0.0,3/14,1/7,0/3,4.3,4.0,4.8,2.7,2/9,1/3,0/2,,1/9,0/3,0/2,,3/8,1/3,0/1,,1,0,0,0,0/1,,,,5.0,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,The Center for Reproductive Med at Rochester Hills,,No,No,Yes,No,Yes,No,Yes
BEAUMONT CENTER FOR FERTILITY AND REPRODUCTIVE MEDICINE,,ROYAL OAK,MI,100%,0%,0%,0%,44%,0%,21%,40%,5%,14%,1%,13%,6%,William,R.,Keye,", M.D.",91,59,27,16,39.6,32.2,29.6,2/16,34.1,27.1,22.2,2/16,(24.3 - 43.8),(15.8 - 38.5),(6.5 - 37.9),,39.7,30.2,27.3,2/12,40.8,33.3,27.3,2/10,14.3,10.2,18.5,4/16,3.1,3.2,3.3,3.8,16.7,4/19,1/8,1/2,11.1,1/19,0/8,0/2,29.0,3/16,1/6,1/2,1,1,1,0,0/1,0/1,0/1,,5.0,9.0,2.0,,1,0,0,0,1/1,,,,3.0,,,,0,0,0,0,,,,,,,,,Beaumont Center for Fertility and Reproductive Medicine,,Yes,Yes,Yes,No,Yes,Yes,Yes
HENRY FORD REPRODUCTIVE MEDICINE,,TROY,MI,100%,0%,0%,0%,23%,0%,42%,31%,2%,10%,0%,3%,12%,Ronald,C.,Strickler,", M.D.",57,35,20,20,31.6,20.0,20.0,10.0,28.1,14.3,10.0,5.0,(16.4 - 39.7),(2.7 - 25.9),(0.0 - 23.1),(0.0 - 14.6),42.1,20.8,2/12,1/9,43.2,21.7,2/11,1/9,33.3,31.4,40.0,55.0,3.0,3.4,3.4,3.4,7/18,0/7,0/4,1/2,1/18,0/7,0/4,0/2,7/16,0/5,0/2,0/1,5,5,2,1,1/5,2/5,0/2,0/1,3.0,2.6,3.0,1.0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Henry Ford Reproductive Medicine,,Yes,No,Yes,No,Yes,Yes,Yes
HUTZEL HOSPITAL,,WARREN,MI,94%,4%,<1%,<1%,29%,0%,33%,21%,2%,13%,<1%,14%,16%,Charla,M.,Blacker,", M.D.",97,52,47,21,28.9,25.0,12.8,4.8,23.7,17.3,6.4,0.0,(15.2 - 32.2),(7.0 - 27.6),(0.0 - 13.4),,28.0,22.0,9.1,0/15,29.5,23.1,9.4,0/14,15.5,21.2,29.8,28.6,4.6,4.4,3.9,4.6,28.6,4/13,0/6,0/1,17.9,3/13,0/6,0/1,47.8,5/9,0/3,,4,0,1,0,0/4,,0/1,,1.0,,1.0,,3,2,1,6,0/3,2/2,1/1,1/6,4.3,3.5,6.0,3.7,0,0,0,2,,,,0/2,,,,2.5,Hutzel Hospital,,Yes,No,Yes,No,Yes,Yes,Yes
ANN ARBOR REPRODUCTIVE MEDICINE,,YPSILANTI,MI,36%,6%,58%,<1%,46%,<1%,22%,29%,38%,9%,2%,0%,0%,Jonathan,W.T.,Ayers,", M.D.",155,87,44,35,27.1,27.6,18.2,8.6,23.2,23.0,11.4,8.6,(16.6 - 29.9),(14.1 - 31.8),(2.0 - 20.7),(0.0 - 17.8),27.7,28.6,14.3,11.1,29.0,31.3,15.6,11.1,16.1,19.5,20.5,22.9,3.2,3.0,3.4,3.4,35.7,33.3,3/8,0/3,14.3,8.3,1/8,0/3,41.7,45.0,2/5,0/3,41,7,7,1,7.3,0/7,2/7,0/1,2.4,2.3,2.3,4.0,6,0,6,32,2/6,,1/6,46.9,3.0,,3.0,3.2,2,0,1,6,1/2,,0/1,1/6,2.5,,3.0,2.8,Ann Arbor Reproductive Medicine,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,,MINNEAPOLIS,MN,100%,<1%,0%,0%,40%,0%,22%,25%,6%,15%,1%,22%,9%,Bruce,F.,Campbell,", M.D.",119,73,54,26,52.9,50.7,50.0,19.2,47.1,47.9,38.9,15.4,(38.1 - 56.0),(36.5 - 59.4),(25.9 - 51.9),(1.5 - 29.3),50.0,53.8,43.8,18.2,50.0,54.7,43.8,18.2,5.9,11.0,11.1,15.4,3.1,3.3,3.6,3.2,41.3,48.6,14.8,1/5,12.7,5.4,7.4,0/5,50.0,57.1,23.8,1/4,10,3,6,4,3/10,0/3,1/6,2/4,3.6,3.3,3.7,3.8,4,8,12,24,2/4,5/8,7/12,58.3,3.0,2.3,2.9,2.8,0,0,0,0,,,,,,,,,Center for Reproductive Medicine,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"THE MIDWEST CENTER FOR REPRODUCTIVE HEALTH, P.A.",,MINNEAPOLIS,MN,100%,0%,0%,0%,29%,0%,28%,32%,9%,8%,0%,23%,0%,Randle,S.,Corfman,", Ph.D., M.D.",152,51,48,13,53.3,51.0,33.3,3/13,50.7,47.1,27.1,1/13,(42.7 - 58.6),(33.4 - 60.8),(14.5 - 39.7),,55.4,54.5,32.5,1/9,57.5,55.8,34.2,1/9,8.6,13.7,16.7,4/13,2.6,2.8,2.8,3.0,32.1,19.2,4/16,1/3,9.9,19.2,0/16,0/3,37.7,37.5,4/13,1/1,52,27,16,2,15.4,29.6,5/16,1/2,2.6,2.6,2.7,2.0,4,2,7,19,3/4,1/2,2/7,14/19,2.5,2.5,2.7,2.6,2,1,4,8,0/2,0/1,1/4,3/8,3.0,3.0,3.5,2.8,"The Midwest Center for Reproductive Health, P.A.",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MAYO CLINIC ASSISTED REPRODUCTIVE TECHNOLOGIES,,ROCHESTER,MN,100%,0%,0%,0%,52%,0%,26%,30%,21%,8%,1%,10%,4%,Mark,A.,Damario,", M.D.",105,54,21,13,51.4,51.9,28.6,2/13,48.6,42.6,23.8,0/13,(39.0 - 58.1),(29.4 - 55.8),(5.6 - 42.0),,50.5,50.0,5/17,0/8,56.0,50.0,5/15,0/7,3.8,14.8,19.0,5/13,3.1,3.6,3.4,3.3,35.2,14.3,0/6,0/2,11.1,17.9,0/6,0/2,43.1,30.4,0/5,,54,30,17,10,31.5,26.7,5/17,2/10,3.2,3.2,3.4,3.2,1,0,0,0,1/1,,,,3.0,,,,16,3,5,29,7/16,2/3,4/5,41.4,3.3,3.0,3.0,3.0,Mayo Clinic Assisted Reproductive Technologies,,Yes,No,Yes,Yes,Yes,Yes,Yes
"REPRODUCTIVE HEALTH ASSOCIATES, P.A.",,ST. PAUL,MN,100%,0%,0%,0%,96%,0%,19%,45%,4%,6%,0%,11%,15%,Jacques,P.,Stassart,", M.D.",230,92,49,18,38.3,40.2,20.4,4/18,31.3,30.4,14.3,4/18,(25.3 - 37.3),(21.0 - 39.8),(4.5 - 24.1),,31.3,30.4,15.2,4/17,32.0,31.1,16.7,4/15,0.0,0.0,6.1,1/18,2.9,3.0,3.7,3.7,29.5,24.3,2/10,0/4,10.2,2.7,0/10,0/4,45.8,28.6,2/7,0/4,49,22,13,10,12.2,13.6,0/13,2/10,2.8,3.1,2.6,2.6,21,10,18,35,42.9,4/10,10/18,40.0,3.0,2.8,2.8,2.9,0,0,0,0,,,,,,,,,Clinic has undergone reorganization since 1998. Information on current clinic services and profile therefore is not prov,,,,,,,,
ADVANCED REPRODUCTIVE SPECIALISTS,,CHESTERFIELD,MO,100%,0%,0%,0%,0%,0%,58%,0%,13%,21%,4%,2%,2%,Jorge,A.,Pineda,", M.D.",30,7,9,2,40.0,5/7,1/9,0/2,33.3,4/7,0/9,0/2,(16.5 - 50.2),,,,33.3,4/7,0/8,0/2,38.5,4/7,0/6,0/1,0.0,0/7,1/9,0/2,4.5,4.1,4.8,7.0,6/12,1/5,0/1,,1/12,1/5,0/1,,6/10,2/4,,,4,1,0,0,0/4,0/1,,,3.8,4.0,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Advanced Reproductive Specialists,,Yes,No,No,No,Yes,Yes,Pending
THE FERTILITY INSTITUTE,,CHESTERFIELD,MO,100%,0%,0%,0%,0%,0%,14%,2%,32%,48%,0%,4%,0%,Anthony,C.,Pearlstone,", M.D.",43,22,7,7,39.5,36.4,1/7,1/7,32.6,31.8,0/7,1/7,(18.6 - 46.6),(12.4 - 51.3),,,32.6,31.8,0/7,1/4,35.9,35.0,0/6,1/4,0.0,0.0,0/7,3/7,3.5,4.3,3.3,3.0,3/17,2/8,0/1,0/1,1/17,0/8,0/1,0/1,2/14,1/7,,0/1,0,0,0,0,,,,,,,,,0,2,0,0,,1/2,,,,4.0,,,0,0,0,0,,,,,,,,,The Fertility Institute,,Yes,Yes,Yes,No,Yes,Yes,Pending
MID-MISSOURI CENTER FOR REPRODUCTIVE HEALTH,,COLUMBIA,MO,57%,43%,0%,0%,21%,0%,7%,10%,13%,67%,0%,3%,0%,Larry,L.,Penney,", M.D.",15,10,3,0,2/15,1/10,1/3,,2/15,1/10,1/3,,,,,,2/14,1/6,1/3,,2/14,1/5,1/3,,1/15,4/10,0/3,,3.6,3.2,3.7,,0/2,0/1,1/1,,0/2,0/1,0/1,,0/2,0/1,1/1,,0,0,1,0,,,1/1,,,,5.0,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Mid-Missouri Center for Reproductive Health,,No,No,Yes,No,Yes,Yes,Pending
UNIVERSITY OF MISSOURI HOSPITAL & CLINICS-IVF EMBRYOLOGY LAB,,COLUMBIA,MO,91%,6%,0%,3%,11%,0%,14%,25%,33%,11%,0%,17%,0%,Gary,M.,Horowitz,", M.D.",20,1,4,10,10.0,0/1,0/4,1/10,10.0,0/1,0/4,0/10,(0.0 - 23.1),,,,2/19,0/1,0/2,0/5,2/11,0/1,0/2,0/5,5.0,0/1,2/4,5/10,3.2,2.0,3.0,3.6,0/2,,,0/1,1/2,,,0/1,1/2,,,,1,0,0,0,0/1,,,,3.0,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,University of Missouri Hospital & Clinics-IVF Embryology Lab,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ADVANCED ASSISTED REPRODUCTIVE TECHNOLOGY PROGRAM,,ST. LOUIS,MO,100%,<1%,0%,0%,29%,<1%,36%,23%,12%,13%,1%,3%,12%,Daniel,B.,Williams,", M.D.",145,72,54,28,35.9,23.6,24.1,17.9,29.7,13.9,18.5,14.3,(22.2 - 37.1),(5.9 - 21.9),(8.2 - 28.9),(1.3 - 27.2),36.4,16.4,27.8,16.7,36.8,18.2,28.6,19.0,18.6,15.3,33.3,14.3,2.9,2.8,3.1,3.7,19.2,4/17,3/13,2/5,13.5,1/17,1/13,0/5,25.6,5/10,2/10,2/4,8,9,1,1,0/8,2/9,1/1,0/1,2.3,2.9,4.0,4.0,0,1,0,5,,0/1,,2/5,,1.0,,3.6,0,0,0,1,,,,0/1,,,,3.0,Advanced Assisted Reproductive Technology Program,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
